1. marirui  [Ｓ級幼稚園児]    [コムテックタワー@愛知県@東海] Score: 1643000000 
2. K.I.  [GLITHCRE GOD]    [セガイオンモール岡山@岡山県@中国] Score: 1643000000 
3. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1642984988 
4. NARSAN  [GAME MUSIC TRIANGLER]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1642969199 
5. zoroakun  [ケルベロス]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1642953066 
6. HIHIME  [朱雀]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1642894890 
7. WARNING  [WARNING!!]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1642823818 
8. Megumin  [Ｓ＋級ハンバーガー]    [ＴＡＣ郡山@福島県@東北] Score: 1642699290 
9. Hirojixi  [夢現神]    [セガ金山@愛知県@東海] Score: 1642687998 
10. pillow  [神奈川勢]    [埼玉レジャーランド川越店@埼玉県@関東] Score: 1642611035 
11. K.x*N3  [God recover run]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1642464055 
12. Shisa  [GLITHCRE GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1642428096 
13. Hazuneko  [環状線神]    [WAWA EMPIRE(YIJHONG)@Taiwan@海外] Score: 1642359334 
14. DogDept.  [Sayonara God]    [ラウンドワン東淀川店@大阪府@近畿] Score: 1642334358 
15. mikan?  [あのね…実はわたし、女神なんだ…?]    [ラウンドワン青森店@青森県@東北] Score: 1641782675 
16. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1641747703 
17. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1641740875 
18. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1641200378 
19. SofLan  [無理]    [タイトーステーション浅草店@東京都@関東] Score: 1641097229 
20. 2K-DeW  [God noir forever.]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1641038342 
21. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1641004590 
22. YUKIMARU  [Linear God]    [タイトーステーション大須店@愛知県@東海] Score: 1640997623 
23. SKYMAN  [名も無い幼い神]    [スターダスト@岡山県@中国] Score: 1640989661 
24. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1640653154 
25. BL4CK3M0  [アザレアの神]    [プレイランドキング円町店@京都府@近畿] Score: 1640557479 
26. Hei*  [God of Moon]    [AMERICAN POOL@Hong Kong@海外] Score: 1640444699 
27. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1640143614 
28. MiroT  [Lethal Dose God]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1639917748 
29. HAK0BUNE  [Groove master?]    [コムテックタワー@愛知県@東海] Score: 1639902322 
30. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1639891403 
31. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1639870091 
32. MHRJ  [星の歌姫]    [ソユーゲームフィールド御所野店@秋田県@東北] Score: 1639801471 
33. QWERTZ  [臥薪嘗胆]    [ビーカム松森店@宮城県@東北] Score: 1639418041 
34. GUREKO+  [超COOL!]    [ロックンボウル@秋田県@東北] Score: 1639356841 
35. B  [バレットゴッド]    [セガ安城@愛知県@東海] Score: 1639330347 
