3. K.I.  [God recover run]    [スターダスト@岡山県@中国] Score: 1618000000 
26. SKYMAN  [団子を食べる程に強くなる女神]    [スターダスト@岡山県@中国] Score: 1616025698 
186. YUKKE_GS  [GROOVER]    [岡山ジョイポリス@岡山県@中国] Score: 1567420366 
390. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1434158319 
464. Takaha*C  [はじめてのぐるこす]    [アミパラテクノランド店@岡山県@中国] Score: 1372202780 
663. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1217284220 
736. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1183527481 
886. Foxy  [ワーウルフ]    [スターダスト@岡山県@中国] Score: 1107472157 
891. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1105324350 
929. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1078923038 
