35. CloudyB.  [真・一溝段]    [MOFUN SEOUL@Korea@海外] Score: 1574907199 
105. THOMAS91  [わわわわーにん！]    [STARMU GAME CENTER@Korea@海外] Score: 1560492046 
126. A.S.HERO  [I love チルノ]    [MOFUN SEOUL@Korea@海外] Score: 1554402111 
130. VERDURE  [神・漆段]    [STARMU GAME CENTER@Korea@海外] Score: 1552535140 
353. Melonism  [GC2最終スコアタ騎士]    [STARMU GAME CENTER@Korea@海外] Score: 1429734395 
354. KUROKO  [うー！がぉー！]    [FUN IT(GURO)@Korea@海外] Score: 1427666098 
427. Arslan  [うー！がぉー！]    [STARMU GAME CENTER@Korea@海外] Score: 1366231335 
488. SiL_VER1  [グルーヴ三百段]    [MOFUN SEOUL@Korea@海外] Score: 1316264174 
571. XER0  [ECLIPSES EYE]    [MOFUN GAME CENTER@Korea@海外] Score: 1255126804 
622. KIRITO  [サイエンスゴッド]    [MOFUN SEOUL@Korea@海外] Score: 1215749094 
626. HyoJJi!  [Oh! Jesus!]    [ARCADE1@Korea@海外] Score: 1213282563 
660. Cree_Fry  [生真面目リーダー]    [GAME TOPIA@Korea@海外] Score: 1193775304 
796. F-RAY-A  [超高校級の「ギャル」]    [ARCADE1@Korea@海外] Score: 1129685306 
798. EZ2ON  [S+級ネギトロ]    [MOFUN SEOUL@Korea@海外] Score: 1128710020 
811. mow*2  [Are you ready?]    [STARMU GAME CENTER@Korea@海外] Score: 1121770687 
839. Admit???  [店内F CLASS]    [GAME TOPIA@Korea@海外] Score: 1103243472 
