178. TOKOHA  [Transfer God]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1560599952 
485. NORANEKO  [歌って踊れるゲーマーアイドル]    [セガ松山@愛媛県@四国] Score: 1342445862 
495. KUROGANE  [S級徳川家康]    [タイトーステーション衣山店@愛媛県@四国] Score: 1333352606 
538. COMPILE  [みっくみくにしてやんよ～！]    [セガ松山@愛媛県@四国] Score: 1296557116 
654. seki4ta  [ふわっふわ15歳]    [タイトーステーション衣山店@愛媛県@四国] Score: 1214128144 
683. KATYO*  [DullaGoddess]    [セガ松山@愛媛県@四国] Score: 1197594874 
684. BLAZE  [ソウルメイト]    [ラウンドワン松山店@愛媛県@四国] Score: 1197534191 
922. ZARRY  [神霊「夢想封印 瞬」]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1075749654 
936. BAviiiso  [GROOVER]    [ラウンドワン松山店@愛媛県@四国] Score: 1067160241 
