2. K.I.  [GLITHCRE GOD]    [セガイオンモール岡山@岡山県@中国] Score: 1652000000 
22. SKYMAN  [名も無い幼い神]    [スターダスト@岡山県@中国] Score: 1649976807 
174. YUKKE_GS  [GROOVER]    [アミパラ岡山店@岡山県@中国] Score: 1599638135 
382. Yu-ki  [アイエエエエエ！]    [アミパラ津山店@岡山県@中国] Score: 1461376006 
464. NEB  [リヴァイアサン]    [セガイオンモール岡山@岡山県@中国] Score: 1398133573 
681. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1230108567 
768. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1183467754 
922. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1104317748 
962. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1075930139 
