27. GUREKO+  [G.T.]    [ロックンボウル@秋田県@東北] Score: 1604877743 
61. LIMIO  [未確認幻想飛行少女]    [ロックンボウル@秋田県@東北] Score: 1597732876 
80. MHRJ  [星の歌姫]    [ロックンボウル@秋田県@東北] Score: 1591722237 
459. Gram  [超シューティング神]    [ロックンボウル@秋田県@東北] Score: 1361704967 
476. KABUTO  [音魄の使い手]    [ラウンドワン秋田店@秋田県@東北] Score: 1344527142 
492. RE-  [WARNING!!]    [秋田ＯＰＡアミューズパーク@秋田県@東北] Score: 1331144368 
523. STS  [アドリブ調査員]    [ソユーゲームフィールド御所野店@秋田県@東北] Score: 1309564510 
540. millin  [God hive of Ra]    [ロックンボウル@秋田県@東北] Score: 1294849977 
982. 0  [キャッチ・ザ・ハート]    [ソユーゲームフィールド御所野店@秋田県@東北] Score: 1038203780 
