1. marirui  [Ｓ級幼稚園児]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1680000000 
2. K.I.  [第四回天下一音ゲ祭 ファイナリスト]    [スターダスト@岡山県@中国] Score: 1680000000 
3. newxh  [しわ大王]    [タイトーステーション所沢店@埼玉県@関東] Score: 1680000000 
4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1679986800 
5. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション大須店@愛知県@東海] Score: 1679982748 
6. zoroakun  [2112410403 2504434504]    [ラウンドワンさいたま・栗橋店@埼玉県@関東] Score: 1679957212 
7. HIHIME  [朱雀]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1679892782 
8. WARNING  [I love "五次元式エチュード～妖魔との戦い～"]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1679847978 
9. Hirojixi  [夢現神]    [コムテックタワー@愛知県@東海] Score: 1679840610 
10. Megumin  [NEO グルコサ民]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1679704422 
11. ERION+++  [天性の弱虫]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1679616695 
12. K.x*N3  [God recover run]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1679549582 
13. Shisa  [だってだってだって女神]    [ジャムジャム神栖店@茨城県@関東] Score: 1679430321 
14. masaki  [GHOST]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1679430282 
15. DogDept.  [魔奴化]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1679382802 
16. B  [ユニコーン]    [セガ安城@愛知県@東海] Score: 1679354664 
17. Hazuneko  [環状線神]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1679354075 
18. L.pis*YY  [QLWAGOD]    [ＴＡＣ郡山@福島県@東北] Score: 1679090682 
19. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1678905663 
20. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1678892609 
21. mikan?  [あのね…実はわたし、女神なんだ…?]    [ラウンドワン青森店@青森県@東北] Score: 1678892316 
22. PoCkRo.B  [青森勢]    [スペースイン@青森県@東北] Score: 1678836249 
23. akariki  [わぁい神様大好き]    [タイトーイン綾瀬@東京都@関東] Score: 1678262197 
24. 2K-DeW  [S＋級せんべい]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1678107668 
25. SofLan  [無理]    [タイトーステーション浅草店@東京都@関東] Score: 1678078712 
26. SKYMAN  [Crazy ∞ Goddess]    [スターダスト@岡山県@中国] Score: 1677969241 
27. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1677900769 
28. BL4CK3M0  [アザレアの神]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1677710069 
29. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1677559632 
30. Y*xx-!?  [でんぱ神]    [開放倉庫　米原店@滋賀県@近畿] Score: 1677509368 
31. OKA-MH  [店内SSS CLASS]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1677419415 
32. HAK0BUNE  [Groove master?]    [コムテックタワー@愛知県@東海] Score: 1677369803 
33. MiroT  [天性の神]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1677186341 
34. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1677134639 
35. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1677022302 
36. NARSAN  [GAME MUSIC TRIANGLER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1676969199 
37. YUKIMARU  [雷神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1676941076 
