35. CloudyB.  [真・十溝段]    [MOFUN SEOUL@Korea@海外] Score: 1633895451 
100. A.S.HERO  [I love ATTACK THE MUSIC]    [MOFUN SEOUL@Korea@海外] Score: 1620829662 
125. THOMAS91  [わわわわーにん！]    [STARMU GAME CENTER@Korea@海外] Score: 1607786990 
132. VERDURE  [無理]    [ARCADE1@Korea@海外] Score: 1606538647 
324. Melonism  [秘弾「そして誰もいなくなるか？」]    [STARMU GAME CENTER@Korea@海外] Score: 1496623396 
370. KUROKO  [からかさ神]    [ARCADE1@Korea@海外] Score: 1461578850 
463. Arslan  [カンフー神]    [MOFUN SEOUL@Korea@海外] Score: 1386588561 
552. SiL_VER1  [グルーヴ三百段]    [MOFUN SEOUL@Korea@海外] Score: 1305211808 
600. HyoJJi!  [Don't stop funky music!]    [ARCADE1@Korea@海外] Score: 1272903039 
641. XER0  [ECLIPSES EYE]    [MOFUN GAME CENTER@Korea@海外] Score: 1243534704 
661. F-RAY-A  [超高校級の「ギャル」]    [ARCADE1@Korea@海外] Score: 1230287473 
695. Cree_Fry  [I LOVE 初音ミク]    [GAME TOPIA@Korea@海外] Score: 1212503177 
708. KIRITO  [サイエンスゴッド]    [MOFUN SEOUL@Korea@海外] Score: 1203763681 
833. mow*2  [Are you ready?]    [STARMU GAME CENTER@Korea@海外] Score: 1143600345 
883. EZ2ON  [S+級ネギトロ]    [MOFUN SEOUL@Korea@海外] Score: 1116721380 
927. Admit???  [店内F CLASS]    [GAME TOPIA@Korea@海外] Score: 1091271199 
998. HPGVR3EX  [I love ATTACK THE MUSIC]    [MOFUN SEOUL@Korea@海外] Score: 1049153244 
