160. tope-kon  [歌って踊れるゲーマーアイドル]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1672931539 
259. AIR4545K  [わんこそば]    [セガ水沢@岩手県@東北] Score: 1602910273 
329. NAO  [FEVER! FEVER! FEVER!]    [さんさんらんど大船渡@岩手県@東北] Score: 1546948276 
422. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1474136080 
469. arx-8  [大富豪]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1430544588 
528. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1378147623 
566. SU-3*  [OMAKENO Kamisama]    [みらい夢　津志田店@岩手県@東北] Score: 1341054952 
803. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1187158786 
968. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1103565462 
