148. tope-kon  [歌って踊れるゲーマーアイドル]    [ラウンドワン盛岡店@岩手県@東北] Score: 1672805876 
262. AIR4545K  [S+級ローストチキン]    [セガ水沢@岩手県@東北] Score: 1595966788 
330. NAO  [FEVER! FEVER! FEVER!]    [さんさんらんど大船渡@岩手県@東北] Score: 1541133453 
419. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1474136080 
465. arx-8  [大富豪]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1430544588 
524. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1378147623 
562. SU-3*  [OMAKENO Kamisama]    [みらい夢　津志田店@岩手県@東北] Score: 1341054952 
800. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1187158786 
967. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1103565462 
