"Taiwan"@"2017年11月27日02時10分"

1. Hazuneko(16)  [Bright God]  Score: 1608276654
2. *_MIKU_*(56)  [MikuMikuGod]  Score: 1601579670
3. HORIZON(67)  [Ｓ＋級紅茶]  Score: 1598548027
4. Xuzuo(106)  [Detonator God]  Score: 1588445956
5. KYONKO(115)  [LINK PERFECT]  Score: 1586809747
6. xx_Adam(148)  [第四ノ封印ヲ解放セシ者]  Score: 1572633976
7. S-Kang(153)  [天下一チャレンジャー]  Score: 1570540291
8. xx_LA-LA(165)  [バーカバーカ！]  Score: 1566048998
9. R.KaBaTa(177)  [発狂大魔人]  Score: 1561472805
10. S_LAN(182)  [α]  Score: 1558285241
11. GROOVER(195)  [「幼女の世界」]  Score: 1551243640
12. xx_Clark(203)  [スターオーシャンキング]  Score: 1546108922
13. 387(235)  [「プリスティンビート」]  Score: 1530062650
14. LEO*(240)  [愛知勢]  Score: 1528993761
15. MOEOU(268)  [麒麟]  Score: 1511469920
16. L(284)  [ゆっくりしていってね！]  Score: 1499680198
17. HAPPYEXE(309)  [S級武田信玄]  Score: 1482930148
18. FOX186(385)  [夢に向かって飛び立て！]  Score: 1427786293
19. xx_DiC(402)  [I love "Blue Destiny Blue"]  Score: 1413390738
20. B.RS(459)  [メイド王]  Score: 1366445067
21. AZUSA@.@(479)  [ネトゲ廃人大王]  Score: 1345290656
22. 3345678(603)  [メイド先生]  Score: 1249243481
23. NGGFN(618)  [レンかわいいよレン]  Score: 1237708722
24. LDT_JACK(620)  [STARLIGHT GOD]  Score: 1234594004
25. Kirby#64(622)  [青龍]  Score: 1234262406
26. Flaxer#(635)  [無名の王]  Score: 1228164980
27. PLATINUM(660)  [OCT, 2017 TOP RANKER]  Score: 1210779090
28. RedBunny(661)  [幸福理論神]  Score: 1210465732
29. Xa<>_xx(665)  [戦車女王]  Score: 1206923443
30. SkyFox(679)  [LINK MASTER]  Score: 1199745871
31. BIGBANG(686)  [世界の傍観者]  Score: 1196781703
32. O_____O(709)  [わわわわーにん！]  Score: 1187018899
33. LDT-Cus(798)  [LINK MASTER]  Score: 1145319126
34. +_RM13_(809)  [EXTREME]  Score: 1140145860
35. DBB_HTC(820)  [I love "東方不死鳥"]  Score: 1134318673
36. HALKEN(842)  [I love 燦]  Score: 1123007515
37. G8.inc(843)  [練習中]  Score: 1122860376
38. AXue(852)  [GROOVER]  Score: 1117849127
39. SRH(854)  [I love "議論 -HEAT UP-"]  Score: 1116780787
40. Kevin(880)  [I love "蒼空に舞え、墨染の桜"]  Score: 1101658178
41. SAKI(926)  [神霊「夢想封印 瞬」]  Score: 1071936733
42. Akatsuki(930)  [第四ノ封印ヲ解放セシ者]  Score: 1070230757
43. COASTER(958)  [初代スコアタ騎士]  Score: 1053550733
44. moroko@@(970)  [メイド秘技「殺人ドール」]  Score: 1047664033
45. Yorda(971)  [狂乱を、味わえ]  Score: 1046937782
