Taiwan@2018年04月20日02時10分

1.Hatuneko(8)  [環状線神]  Score: 1772359338
2.*_MIKU_*(28)  [XYZ God]  Score: 1766758315
3.KYONKO(76)  [妹様]  Score: 1744552110
4.Adam030(80)  [第四ノ封印ヲ解放セシ者]  Score: 1742561946
5.LA-LA(111)  [バーカバーカ！]  Score: 1726159492
6.xx_030(148)  [会いたい神]  Score: 1706780399
7.KL+.G(150)  [α]  Score: 1706198045
8.X-Clark-(179)  [Blue King Blue]  Score: 1695541705
9.YAMIGAMI(202)  [鵺]  Score: 1678494510
10.Xu.(208)  [Detonator God]  Score: 1673099903
11.HORIZON(217)  [Ｓ＋級紅茶]  Score: 1666959319
12.387(232)  [「プリスティンビート」]  Score: 1659648829
13.S-Kang(248)  [3EX]  Score: 1641578658
14.Obsolete(255)  [TANO*C MASTER]  Score: 1634335653
15.LEO*(313)  [滋賀勢]  Score: 1582734696
16.FOX186(319)  [ウロボロス]  Score: 1578396935
17.NC_B.RS(353)  [神々が恋した神]  Score: 1545003704
18.GROOVER(364)  [「幼女の世界」]  Score: 1539293444
19.HAPPYEXE(367)  [S級織田信長]  Score: 1535778396
20.RedBunny(369)  [幸福理論神]  Score: 1531216576
21.L(405)  [ミクかわいいよミク]  Score: 1503072928
22.On1D40ru(409)  [GROOVER]  Score: 1498545489
23.AZUSA>.<(466)  [星条旗の女王]  Score: 1448077793
24.NGGFN(478)  [レンかわいいよレン]  Score: 1438447738
25.BIGBANG(495)  [世界の傍観者]  Score: 1426624804
26.SkyFox(569)  [あるいは王という概念へのサクシード]  Score: 1353342964
27.O_____O(581)  [上上下下ABAB]  Score: 1347071916
28.Xa_xx(649)  [Starlight Road King]  Score: 1304461708
29.ETHEREUM(670)  [白金神]  Score: 1293700088
30.+_RM13_(677)  [:-) master]  Score: 1285216825
31.Kevin(720)  [I love "蒼空に舞え、墨染の桜"]  Score: 1252473468
32.Kirby#64(738)  [青龍]  Score: 1237613289
33.Patrick(744)  [初PERFECT]  Score: 1234400485
34.LDT_JACK(754)  [STARLIGHT GOD]  Score: 1228690357
35.DBB_HTC(758)  [I love "東方不死鳥"]  Score: 1226548200
36.HALKEN(788)  [I love 燦]  Score: 1206498923
37.Flaxer#(795)  [無名の王]  Score: 1203666851
38.Yorda(804)  [FEB, 2018 TOP RANKER]  Score: 1197849401
39.ER-AKTK(858)  [第四ノ封印ヲ解放セシ者]  Score: 1169459648
40.SAKI(947)  [永遠の巫女]  Score: 1124545590
41.LDT-Cus(951)  [遠征]  Score: 1123099322
42.@XUE(966)  [日本勢]  Score: 1116080509
43.SRH(985)  [I love "議論 -HEAT UP-"]  Score: 1105628984
