"Taiwan"@"2018年02月09日02時10分"

1. Hazuneko(11)  [環状線神]  Score: 1657354630
2. *_MIKU_*(37)  [MikuMikuGod]  Score: 1651547549
3. Xuzuo(68)  [真・十溝段]  Score: 1645626903
4. HORIZON(107)  [Ｓ＋級紅茶]  Score: 1634181573
5. KYONKO(113)  [LINK PERFECT]  Score: 1630965751
6. xx_Adam(130)  [第四ノ封印ヲ解放セシ者]  Score: 1621360630
7. S-Kang(154)  [天下一チャレンジャー]  Score: 1612917031
8. xx_LA-LA(159)  [バーカバーカ！]  Score: 1611736782
9. S_LAN(180)  [α]  Score: 1600009347
10. xx_DiC(194)  [会いたい神]  Score: 1595874204
11. xx_Clark(198)  [I love Xenoa]  Score: 1594076445
12. R.KaBaTa(205)  [TANO*C MASTER]  Score: 1588278308
13. 387(209)  [「プリスティンビート」]  Score: 1586908324
14. MOEOU(241)  [八岐大蛇]  Score: 1566525045
15. LEO*(249)  [奈良勢]  Score: 1562181790
16. GROOVER(282)  [「幼女の世界」]  Score: 1539243992
17. HAPPYEXE(326)  [S級織田信長]  Score: 1511597732
18. L(350)  [ゆっくりしていってね！]  Score: 1488182952
19. FOX186(363)  [しんどい]  Score: 1478479607
20. B.RS(429)  [神々が恋した神]  Score: 1422150884
21. AZUSA@.@(486)  [緑眼の女王]  Score: 1377340114
22. BIGBANG(529)  [世界の傍観者]  Score: 1334365523
23. RedBunny(535)  [幸福理論神]  Score: 1329804067
24. ODGC3EX!(547)  [I love 世阿弥]  Score: 1321562838
25. NGGFN(550)  [レンかわいいよレン]  Score: 1318201141
26. PLATINUM(622)  [DEC, 2017 TOP RANKER]  Score: 1269033975
27. Nitro(642)  [Don't stop funky music!]  Score: 1256504632
28. SkyFox(647)  [夢の先生]  Score: 1253932470
29. O_____O(654)  [「馬鹿じゃないの？」]  Score: 1248646123
30. Kirby#64(668)  [青龍]  Score: 1238920096
31. 3345678(669)  [メイド先生]  Score: 1238747782
32. LDT_JACK(672)  [STARLIGHT GOD]  Score: 1236714618
33. Xa<>_xx(701)  [戦車女王]  Score: 1219378257
34. Flaxer#(710)  [無名の王]  Score: 1216417643
35. DBB_HTC(762)  [I love "東方不死鳥"]  Score: 1187596483
36. +_RM13_(793)  [EXTREME]  Score: 1171387828
37. Kevin(815)  [I love "蒼空に舞え、墨染の桜"]  Score: 1162884409
38. HALKEN(832)  [I love 燦]  Score: 1155532022
39. LDT-Cus(867)  [LINK MASTER]  Score: 1133942368
40. Akatsuki(889)  [第四ノ封印ヲ解放セシ者]  Score: 1120268122
41. Yorda(899)  [無名の神]  Score: 1115797836
42. SRH(909)  [I love "議論 -HEAT UP-"]  Score: 1111368361
43. G8.inc(910)  [練習中]  Score: 1111232778
44. AXue(919)  [GROOVER]  Score: 1106333628
45. SAKI(941)  [神霊「夢想封印 瞬」]  Score: 1093029625
