"Taiwan"@"2018年01月09日02時10分"

1. Hazuneko(12)  [環状線神]  Score: 1637355147
2. Xuzuo(59)  [Detonator God]  Score: 1629682244
3. HORIZON(73)  [Ｓ＋級紅茶]  Score: 1627321506
4. *_MIKU_*(81)  [Good-bye神]  Score: 1625240107
5. KYONKO(117)  [LINK PERFECT]  Score: 1610632477
6. xx_Adam(141)  [第四ノ封印ヲ解放セシ者]  Score: 1601228307
7. S-Kang(149)  [天下一チャレンジャー]  Score: 1598904685
8. xx_LA-LA(162)  [無理]  Score: 1594704975
9. R.KaBaTa(164)  [TANO*C MASTER]  Score: 1594174766
10. S_LAN(177)  [α]  Score: 1586154863
11. xx_Clark(199)  [尊い・・・]  Score: 1574440096
12. xx_DiC(200)  [練習中]  Score: 1574225638
13. 387(221)  [「プリスティンビート」]  Score: 1561797594
14. LEO*(225)  [和歌山勢]  Score: 1559409910
15. GROOVER(243)  [「幼女の世界」]  Score: 1548243640
16. MOEOU(249)  [雷神]  Score: 1544028399
17. L(323)  [ゆっくりしていってね！]  Score: 1496680198
18. HAPPYEXE(327)  [S級武田信玄]  Score: 1495663193
19. FOX186(367)  [つらい]  Score: 1462780422
20. B.RS(456)  [神々が恋した神]  Score: 1389085371
21. AZUSA@.@(477)  [緑眼の女王]  Score: 1371270503
22. RedBunny(548)  [幸福理論神]  Score: 1307905177
23. ODGC3EX!(562)  [I love ATTACK THE MUSIC]  Score: 1297143138
24. NGGFN(588)  [レンかわいいよレン]  Score: 1280055752
25. BIGBANG(594)  [世界の傍観者]  Score: 1275115495
26. PLATINUM(609)  [DEC, 2017 TOP RANKER]  Score: 1264115452
27. 3345678(636)  [メイド先生]  Score: 1247203582
28. Kirby#64(653)  [青龍]  Score: 1236066581
29. LDT_JACK(656)  [STARLIGHT GOD]  Score: 1232512990
30. Flaxer#(671)  [無名の王]  Score: 1225205933
31. O_____O(673)  [無理]  Score: 1223292981
32. SkyFox(676)  [Tell Your King]  Score: 1222273014
33. Xa<>_xx(696)  [戦車女王]  Score: 1211056288
34. DBB_HTC(788)  [I love "東方不死鳥"]  Score: 1168333886
35. +_RM13_(811)  [EXTREME]  Score: 1158572528
36. HALKEN(827)  [I love 燦]  Score: 1146718909
37. Kevin(828)  [I love "蒼空に舞え、墨染の桜"]  Score: 1146231907
38. LDT-Cus(837)  [LINK MASTER]  Score: 1142385426
39. G8.inc(881)  [練習中]  Score: 1119871104
40. SRH(885)  [I love "議論 -HEAT UP-"]  Score: 1115794415
41. Akatsuki(888)  [第四ノ封印ヲ解放セシ者]  Score: 1115110122
42. AXue(889)  [GROOVER]  Score: 1114984372
43. Yorda(932)  [狂乱を、味わえ]  Score: 1087757724
44. SAKI(935)  [神霊「夢想封印 瞬」]  Score: 1087323300
45. tinrtgu(977)  [絶望]  Score: 1062476780
