Taiwan@2018年02月14日02時10分

1.Hazuneko(15)  [環状線神]  Score: 1657368359
2.*_MIKU_*(54)  [MikuMikuGod]  Score: 1651660439
3.Xuzuo(61)  [Detonator God]  Score: 1650651067
4.KYONKO(107)  [LINK PERFECT]  Score: 1637104105
5.HORIZON(108)  [Ｓ＋級紅茶]  Score: 1637031907
6.xx_Adam(133)  [第四ノ封印ヲ解放セシ者]  Score: 1623319697
7.R.KaBaTa(141)  [TANO*C MASTER]  Score: 1619620181
8.S-Kang(145)  [天下一チャレンジャー]  Score: 1618838783
9.xx_LA-LA(161)  [バーカバーカ！]  Score: 1614718321
10.S_LAN(178)  [α]  Score: 1605689779
11.xx_DiC(188)  [会いたい神]  Score: 1602020369
12.xx_Clark(202)  [I love 世阿弥]  Score: 1594102852
13.387(213)  [「プリスティンビート」]  Score: 1586908324
14.MOEOU(233)  [八岐大蛇]  Score: 1573021553
15.LEO*(255)  [奈良勢]  Score: 1562181790
16.GROOVER(284)  [「幼女の世界」]  Score: 1539243992
17.HAPPYEXE(328)  [S級織田信長]  Score: 1511597732
18.L(353)  [ゆっくりしていってね！]  Score: 1488182952
19.FOX186(360)  [I love Xenoa]  Score: 1484798399
20.B.RS(429)  [神々が恋した神]  Score: 1427993678
21.AZUSA@.@(484)  [団子を食べる程に強くなる女王]  Score: 1384220994
22.BIGBANG(522)  [世界の傍観者]  Score: 1348132711
23.RedBunny(535)  [幸福理論神]  Score: 1332844210
24.ODGC3EX!(545)  [I love "ナイト・オブ・ナイツ"]  Score: 1324936083
25.NGGFN(551)  [レンかわいいよレン]  Score: 1320218298
26.PLATINUM(626)  [DEC, 2017 TOP RANKER]  Score: 1269139272
27.SkyFox(648)  [I love 世阿弥]  Score: 1256709667
28.O_____O(660)  [「一緒に帰ろう」]  Score: 1248728084
29.Kirby#64(667)  [青龍]  Score: 1242622569
30.3345678(673)  [メイド先生]  Score: 1238747782
31.LDT_JACK(674)  [Ｓ級神]  Score: 1238660060
32.Xa<>_xx(692)  [戦車女王]  Score: 1225555075
33.Flaxer#(714)  [無名の王]  Score: 1216417643
34.DBB_HTC(763)  [I love "東方不死鳥"]  Score: 1189583846
35.+_RM13_(796)  [EXTREME]  Score: 1171387828
36.Kevin(797)  [I love "蒼空に舞え、墨染の桜"]  Score: 1170029612
37.HALKEN(825)  [I love 暁月]  Score: 1161554275
38.LDT-Cus(870)  [遠征]  Score: 1134728221
39.Akatsuki(892)  [第四ノ封印ヲ解放セシ者]  Score: 1120268122
40.Yorda(903)  [無名の神]  Score: 1116853301
41.SRH(911)  [I love "議論 -HEAT UP-"]  Score: 1111368361
42.G8.inc(912)  [練習中]  Score: 1111232778
43.AXue(922)  [GROOVER]  Score: 1106333628
44.SAKI(946)  [神霊「夢想封印 瞬」]  Score: 1093029625
