"Taiwan"@"2018年01月15日02時10分"

1. Hazuneko(16)  [環状線神]  Score: 1637365481
2. *_MIKU_*(60)  [MikuMikuGod]  Score: 1631224222
3. Xuzuo(67)  [Detonator God]  Score: 1629919293
4. HORIZON(81)  [Ｓ＋級紅茶]  Score: 1627321591
5. KYONKO(113)  [LINK PERFECT]  Score: 1616607525
6. xx_Adam(137)  [第四ノ封印ヲ解放セシ者]  Score: 1603159288
7. S-Kang(155)  [天下一チャレンジャー]  Score: 1598917789
8. xx_LA-LA(165)  [無理]  Score: 1594704975
9. R.KaBaTa(166)  [TANO*C MASTER]  Score: 1594174766
10. S_LAN(181)  [α]  Score: 1586160802
11. xx_Clark(204)  [尊い・・・]  Score: 1574440096
12. xx_DiC(205)  [練習中]  Score: 1574225638
13. 387(217)  [「プリスティンビート」]  Score: 1567619452
14. LEO*(228)  [和歌山勢]  Score: 1559409910
15. MOEOU(241)  [雷神]  Score: 1551539912
16. GROOVER(247)  [「幼女の世界」]  Score: 1548243640
17. HAPPYEXE(316)  [S級織田信長]  Score: 1507154318
18. L(325)  [ゆっくりしていってね！]  Score: 1496680198
19. FOX186(367)  [つらい]  Score: 1465524132
20. B.RS(447)  [神々が恋した神]  Score: 1404165258
21. AZUSA@.@(478)  [緑眼の女王]  Score: 1376231098
22. RedBunny(542)  [幸福理論神]  Score: 1315691875
23. ODGC3EX!(566)  [I love ATTACK THE MUSIC]  Score: 1298420167
24. NGGFN(582)  [レンかわいいよレン]  Score: 1286117432
25. BIGBANG(586)  [世界の傍観者]  Score: 1282810211
26. PLATINUM(610)  [DEC, 2017 TOP RANKER]  Score: 1265025821
27. 3345678(639)  [メイド先生]  Score: 1247203582
28. Kirby#64(657)  [青龍]  Score: 1236066581
29. LDT_JACK(658)  [STARLIGHT GOD]  Score: 1235124301
30. O_____O(674)  [無理]  Score: 1225274935
31. Flaxer#(676)  [無名の王]  Score: 1225205933
32. SkyFox(680)  [□△×○大王]  Score: 1222638090
33. Xa<>_xx(700)  [戦車女王]  Score: 1211056288
34. DBB_HTC(789)  [I love "東方不死鳥"]  Score: 1169426185
35. +_RM13_(813)  [EXTREME]  Score: 1158572528
36. HALKEN(820)  [I love 燦]  Score: 1154317310
37. Kevin(833)  [I love "蒼空に舞え、墨染の桜"]  Score: 1146231907
38. LDT-Cus(841)  [LINK MASTER]  Score: 1142385426
39. G8.inc(883)  [練習中]  Score: 1119871104
40. SRH(889)  [I love "議論 -HEAT UP-"]  Score: 1115794415
41. Akatsuki(891)  [第四ノ封印ヲ解放セシ者]  Score: 1115110122
42. AXue(892)  [GROOVER]  Score: 1114984372
43. Yorda(937)  [狂乱を、味わえ]  Score: 1088730840
44. SAKI(938)  [神霊「夢想封印 瞬」]  Score: 1088445457
45. tinrtgu(965)  [絶望]  Score: 1068767623
