135. tope-kon  [歌って踊れるゲーマーアイドル]    [ラウンドワン盛岡店@岩手県@東北] Score: 1672805876 
270. AIR4545K  [迫り来る未来の選択]    [セガ水沢@岩手県@東北] Score: 1586471559 
330. NAO  [FEVER! FEVER! FEVER!]    [さんさんらんど大船渡@岩手県@東北] Score: 1538437548 
414. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1474136080 
490. arx-8  [「なんで？？？」]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1403944548 
526. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1375229259 
560. SU-3*  [OMAKENO Kamisama]    [みらい夢　津志田店@岩手県@東北] Score: 1341054952 
799. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1187158786 
963. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1103565462 
