129. YUUTO***  [ろくでなし先生]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1682922137 
313. uit  [しんどい]    [セガワールド高山@岐阜県@東海] Score: 1568294566 
376. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1508225535 
475. Jacky  [お断リンカちゃん]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1430848136 
510. CHOMOKO  [金色の異端児]    [セガワールド多治見@岐阜県@東海] Score: 1396930099 
693. NAKAHITO  [変なTシャツヤロー]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1261777210 
701. Na-Nya<<  [魔奴化]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1255881546 
763. ITODA  [そんなんARIKA]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1215684446 
812. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1190218654 
