98. Hani  [練習中]    [茨城県] Score: 68442446
99. YASUNA  [DADDY GOD]    [大阪府] Score: 68309796
100. Nice  [あるいは神という概念へのサクシード]    [東京都] Score: 68264894
101. ZONE  [シンガポール勢]    [大阪府] Score: 68133710
102. JOTIZAKI  [G.T.]    [山梨県] Score: 68102376
103. BRO178  [超COOL!]    [富山県] Score: 68093570
104. M2*NI53  [I AM EDM]    [愛知県] Score: 68016386
105. Syou0139  [永遠の巫女]    [千葉県] Score: 68014705
106. YUSUKE  [死欲の半霊]    [青森県] Score: 67984055
107. Yakumo  [みくみく女神♪]    [大分県] Score: 67951732
108. SCP  [でんぱ神]    [北海道] Score: 67949345
109. ERION  [I love "STAGER (ALL STAGE CLEAR)]    [栃木県] Score: 67866662
110. EXT  [仮初の満足]    [東京都] Score: 67748359
111. AIR4545K  [Ｓ＋級スープ]    [岩手県] Score: 67732102
112. NORIp*  [UFD GOD]    [山形県] Score: 67662878
113. Miso  [そーなのかー]    [東京都] Score: 67657935
114. Kreide  [無理]    [長野県] Score: 67577633
115. Caferia  [あるいは王という概念へのサクシード]    [愛知県] Score: 67515207
116. FIEL  [LINK GOD]    [青森県] Score: 67308887
117. Vedr  [練習中]    [東京都] Score: 67293823
118. 9JO-NEGI  [有　罪]    [千葉県] Score: 67174281
119. wolfaith  [piggy]    [アメリカ] Score: 67069232
120. cohalz  [全都道府県完全制覇]    [岩手県] Score: 67030738
121. Darful  [死ぬがよい。]    [群馬県] Score: 66993464
122. NANOHA77  [I love "ETERNAL BLAZE"]    [茨城県] Score: 66949329
123. xx_030  [会いたい神]    [台湾] Score: 66937355
124. MKT  [GCナビゲーター(バイト)]    [神奈川県] Score: 66749694
125. KZ&manju  [全都道府県完全制覇]    [奈良県] Score: 66705361
126. FFF  [GROOVER]    [東京都] Score: 66628962
127. Komimi  [真・十じょ段]    [東京都] Score: 66467608
128. LOCK  [神・拾弐段]    [東京都] Score: 66253706
129. LEOPARD6  [わぁーい！]    [神奈川県] Score: 66152535
130. Shougo99  [神・初段]    [静岡県] Score: 66143802
131. R#(9)  [LINK PERFECT]    [千葉県] Score: 66116483
132. GIL  [グルーヴ百段]    [埼玉県] Score: 66068499
133. YUUTO***  [ろくでなし先生]    [岐阜県] Score: 66065017
134. BrentBur  [I LOVE 初音ミク]    [アメリカ] Score: 66054258
135. IKASUMi!  [「僕は幸せだ。」]    [宮城県] Score: 65972959
136. MIKO  [白龍]    [東京都] Score: 65832559
137. KizunaAI  [2.5次元伝説！]    [秋田県] Score: 65748384
138. X-Clark-  [Blue King Blue]    [台湾] Score: 65647592
139. DA_FU  [TGM大王]    [長野県] Score: 65578742
140. NatumE  [「燃やせ 燃やせ その心を」]    [三重県] Score: 65546541
141. K2000  [壁をすり抜けられる程度の女神]    [和歌山県] Score: 65457802
142. E7+W7=KH  [リンドブルム]    [徳島県] Score: 65362987
143. Tsukasa  [FANTASISTA]    [埼玉県] Score: 65129326
144. TAK  [キャッチ・ザ・ハート]    [大阪府] Score: 65091360
145. Giraty  [「幼女の世界」]    [東京都] Score: 65079934
146. LUCA  [竹林のルーガルー]    [東京都] Score: 64983145
147. juni  [God more raves?]    [鳥取県] Score: 64816622
148. *Ta2maN*  [わぁーい！]    [京都府] Score: 64749701
149. Squid  [LINK PERFECT]    [福岡県] Score: 64603619
150. YAMIGAMI  [八岐大蛇]    [台湾] Score: 64350385
151. REIMU  [五欲の巫女]    [神奈川県] Score: 64318498
152. BLAZE  [ソウルメイト]    [高知県] Score: 63928328
153. Xa_xx  [Starlight Road King]    [台湾] Score: 63922687
154. Joker.  [火水木金土日月神]    [神奈川県] Score: 63872923
155. SENSOR  [TANO*C GOD]    [埼玉県] Score: 63842173
156. KL .G  [α]    [台湾] Score: 63805413
157. TAItyo!!  [隊長さん]    [福岡県] Score: 63332181
158. dark-X  [QLWAKING]    [神奈川県] Score: 63282125
159. Goat  [仮初の満足]    [大分県] Score: 62838271
160. 5565  [I LOVE カゲプロ]    [茨城県] Score: 62544732
161. Hirojixi  [夢現神]    [愛知県] Score: 61983907
162. hino  [Starlight Road God]    [大阪府] Score: 61936494
163. YUKIM@RU  [雷神]    [大阪府] Score: 61819322
164. Linkesi  [グリフォン]    [台湾] Score: 61633202
165. SHIENA  [世界の傍観者]    [東京都] Score: 61260094
166. On1D40ru  [GROOVER]    [台湾] Score: 61113238
167. JUN  [Ｓ＋級グラタン]    [岡山県] Score: 60985595
168. GUREKO++  [JUMPEE! GOD!]    [秋田県] Score: 60942085
169. TRAN  [全都道府県完全制覇]    [神奈川県] Score: 60727982
170. hosous  [バハムート]    [愛知県] Score: 60151956
171. KoNaTwuN  [導きのARIA]    [島根県] Score: 59858919
172. HIDE  [I love でんぱ組.inc]    [茨城県] Score: 59720872
173. AYATAKA  [バハムート]    [北海道] Score: 59717174
174. 5ub+1e_k  [わぁーい！]    [東京都] Score: 59695116
175. CHICK  [ＥＸ級横綱]    [北海道] Score: 59655442
176. O_____O  [Pureな乙女(бωб)]    [台湾] Score: 59601834
177. IIBOU  [DENEB]    [新潟県] Score: 59532470
178. GUKKEI  [福岡勢]    [福岡県] Score: 59516219
179. kaede  [ゆっくりしていってね！]    [北海道] Score: 59462655
180. GUEST  [GROOVER]    [群馬県] Score: 59427030
181. FUJIN  [Stronger God]    [神奈川県] Score: 58993320
182. NC_B.RS  [キング・オブ・ナイツ]    [台湾] Score: 58944369
183. YUJI57  [歌って踊れるゲーマーアイドル]    [宮城県] Score: 58874616
184. ANCA  [第四回天下一チャレンジャー]    [香港] Score: 58629285
185. COTA-D  [しんどい]    [石川県] Score: 58119337
186. KUPU  [W.W.G]    [愛知県] Score: 58076616
187. ysn  [Freedom God]    [東京都] Score: 57848132
188. Indigo  [上上下下ABAB]    [埼玉県] Score: 57647460
