2. K.I.  [カーナビ神]    [スターダスト@岡山県@中国] Score: 1752000000 
9. SKYMAN  [Starlight Road God]    [スターダスト@岡山県@中国] Score: 1749794734 
173. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1675091259 
176. YasGni  [Kick It Out God]    [スターダスト@岡山県@中国] Score: 1674610641 
366. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1517563373 
550. Takah@C  [はじめてのぐるこす]    [スターダスト@岡山県@中国] Score: 1359614235 
552. MASAKAZU  [不可能を無にする者]    [アミパラテクノランド店@岡山県@中国] Score: 1358499468 
838. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1170948517 
893. JUN  [Ｓ＋級グラタン]    [セガイオンモール岡山@岡山県@中国] Score: 1145352193 
