184. PETER1  [香港勢]    [オアシス本店@岐阜県@東海] Score: 1596328023 
194. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1588517938 
293. uit  [しんどい]    [セガワールド高山@岐阜県@東海] Score: 1527428010 
389. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1449976264 
416. Jacky  [お断リンカちゃん]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1430848136 
523. CHOMOKO  [一人じゃないんだ]    [セガワールド多治見@岐阜県@東海] Score: 1335885686 
709. ITODA  [そんなんARIKA]    [オリエンタルバッティング可児店@岐阜県@東海] Score: 1212086132 
720. Na-Nya**  [Don't stop funky music!]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1206434042 
754. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1187996626 
