2. K.I.  [神・陸拾壱段]    [アミパラテクノランド店@岡山県@中国] Score: 1582000000 
26. SKYMAN  [ドリームパーティーゴッド]    [スターダスト@岡山県@中国] Score: 1579931940 
186. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1530969294 
398. Yu-ki  [ネオサイタマの死神]    [アミパラ津山店@岡山県@中国] Score: 1401264865 
687. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1182666046 
727. MASAKAZU  [不可能を無にする者]    [アミパラテクノランド店@岡山県@中国] Score: 1166789457 
844. eden!  [GOD]    [ユーズランド倉敷店@岡山県@中国] Score: 1104630121 
883. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1081863371 
1000. H1R0*CKP  [真・四級]    [ラウンドワン岡山妹尾店@岡山県@中国] Score: 1020978919 
