211. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1552397178 
261. uit  [つらい]    [セガワールド高山@岐阜県@東海] Score: 1525449192 
383. Jacky  [お断リンカちゃん]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1439653614 
403. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1419055388 
545. CHOMOKO  [しんどい]    [セガワールド多治見@岐阜県@東海] Score: 1299781980 
658. ITODA  [そんなんARIKA]    [オリエンタルバッティング可児店@岐阜県@東海] Score: 1220815733 
712. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1194862730 
717. NAKAHITO  [しんどい]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1192172103 
731. Na-Nya**  [無理]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1186193101 
