57. Makaru.G  [紅蓮の子ら]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1615549079 
88. Yuly7188  [つらい]    [Ｇ－ＳＴＡ@鹿児島県@九州] Score: 1608203236 
102. HITACHI  [シンドイ・ザ・ゴッデス]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1604657813 
103. Mojo  [しんどい]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1604417159 
127. G.urakaM  [NORMAL TENSION]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1592831058 
146. NIS@  [無理]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1585639029 
488. MORUM0  [地球割り神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1345673444 
569. necco*  [INFINITY]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1284492965 
756. BIGaaaaa  [King of groove frontier.]    [マンガ倉庫　鹿児島店@鹿児島県@九州] Score: 1174450628 
918. *COCO*  [つらい]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1088439250 
