3. K.I.  [ouroboros god]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1603000000 
56. antisan  [Crazy ∞ Goddess]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1595012900 
84. N4ken@Bs  [旅人]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1588202530 
172. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1559522716 
398. Rz_Ariel  [絶対思想啓蒙局神]    [タイトーフジグラン北島店@徳島県@四国] Score: 1412775460 
531. Y.G.insa  [エイリアンエイリアンゴッド]    [タイトーフジグラン北島店@徳島県@四国] Score: 1299406175 
718. GS*9*  [S級明智光秀]    [アポロゲームセンター沖洲店@徳島県@四国] Score: 1177194819 
722. Rz_m4lly  [なにもかも逆さまな女神]    [ｎａｍｃｏゆめタウン徳島店@徳島県@四国] Score: 1175528875 
746. jin  [会いたい神]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1168071933 
