1. K.I.  [カーナビ神]    [スターダスト@岡山県@中国] Score: 1573000000 
2. marirui  [ピッチピチ16歳]    [タイトーステーション大須店@愛知県@東海] Score: 1573000000 
3. newxh  [招かれざりし者]    [タイトーステーション所沢店@埼玉県@関東] Score: 1572999793 
4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1572985431 
5. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション大須店@愛知県@東海] Score: 1572935236 
6. zoroakun  [Bless You Master]    [ＦＥＳＴＡ古河店@茨城県@関東] Score: 1572871640 
7. HIHIME  [朱雀]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1572794701 
8. Megumin  [全知全能の神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1572609761 
9. Shisa  [月夜ノ神]    [セガ霞ヶ浦@茨城県@関東] Score: 1572345713 
10. Hirojixi  [夢現神]    [セガ金山@愛知県@東海] Score: 1572282716 
11. ERION+++  [グルーヴ五十万段]    [テクモピアインターパーク店@栃木県@関東] Score: 1572266561 
12. pillow  [純情可憐な女の子]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1572239019 
13. B  [バーニングフォースゴッド]    [セガ安城@愛知県@東海] Score: 1572237075 
14. Hazuneko  [猫神]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1572156194 
15. LIMIO  [檄神]    [セガワールド宇都宮@栃木県@関東] Score: 1571792498 
16. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1571657859 
17. mikan?  [絶対思想啓蒙局神]    [タイトーステーション青森アムゼ@青森県@東北] Score: 1571615789 
18. L.pis*YY  [労働反対神]    [ＴＡＣ郡山@福島県@東北] Score: 1571428165 
19. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1571021429 
20. SofLan  [超シューティング神]    [タイトーステーション浅草店@東京都@関東] Score: 1571019424 
21. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1570986879 
22. SKYMAN  [2112410403 2504434504]    [セガイオンモール岡山@岡山県@中国] Score: 1570893694 
23. LUCA  [ノルニル神]    [タイトーステーション町田店@東京都@関東] Score: 1570888627 
24. LEMON-E  [オツキミ神]    [ラッキー八千代店@千葉県@関東] Score: 1570697498 
