163. tope-kon  [歌って踊れるゲーマーアイドル]    [ラウンドワン盛岡店@岩手県@東北] Score: 1673048256 
258. AIR4545K  [吉備団子]    [セガ水沢@岩手県@東北] Score: 1605410390 
330. NAO  [FEVER! FEVER! FEVER!]    [さんさんらんど大船渡@岩手県@東北] Score: 1546948276 
416. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1480082687 
463. arx-8  [ECLIPSES EYE]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1437386738 
529. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1378147623 
566. SU-3*  [OMAKENO Kamisama]    [みらい夢　津志田店@岩手県@東北] Score: 1341054952 
803. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1187158786 
965. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1105464631 
