2. K.I.  [GLITHCRE GOD]    [アミパラテクノランド店@岡山県@中国] Score: 1652000000 
38. SKYMAN  [名も無い幼い神]    [スターダスト@岡山県@中国] Score: 1643960543 
177. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1594937124 
380. Yu-ki  [アイエエエエエ！]    [アミパラ津山店@岡山県@中国] Score: 1455569136 
465. NEB  [リヴァイアサン]    [セガイオンモール岡山@岡山県@中国] Score: 1389208176 
662. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1236676115 
774. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1174929209 
930. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1095356670 
962. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1072946010 
