92. ICENON*  [God hive of Ra]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1677261643 
105. HITACHI  [アキバ神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1672442655 
110. Yuly7188  [LINK PERFECT]    [Ｇ－ＳＴＡ@鹿児島県@九州] Score: 1670166104 
128. Makaru.G  [GOD]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1662128721 
150. ZONE  [FEB, 2018 TOP RANKER]    [セガワールド出水@鹿児島県@九州] Score: 1651753664 
151. NIS@  [LRLRABAB神]    [マンガ倉庫　鹿児島店@鹿児島県@九州] Score: 1650865970 
195. G.urakaM  [真・初段]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1632570691 
645. necco*  [INFINITY]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1280214901 
978. WINGS  [ヤマビコ神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1093218522 
