69. CloudyB.  [真・十溝段]    [MOFUN SEOUL@Korea@海外] Score: 1636906308 
83. A.S.HERO  [姉の歌姫]    [ATTACK GAME CENTER@Korea@海外] Score: 1634583351 
111. VERDURE  [銀河を駆け抜ける先生]    [ARCADE1@Korea@海外] Score: 1626518570 
125. THOMAS91  [わわわわーにん！]    [MOFUN SEOUL@Korea@海外] Score: 1618757602 
329. Melonism  [秘弾「そして誰もいなくなるか？」]    [STARMU GAME CENTER@Korea@海外] Score: 1499612658 
377. KUROKO  [からかさ神]    [ARCADE1@Korea@海外] Score: 1461702346 
465. Arslan  [ちゅるり神]    [MOFUN SEOUL@Korea@海外] Score: 1393516064 
563. SiL_VER1  [グルーヴ三百段]    [MOFUN SEOUL@Korea@海外] Score: 1305211808 
591. HyoJJi!  [Oh! Jesus!]    [ARCADE1@Korea@海外] Score: 1286452680 
651. XER0  [ECLIPSES EYE]    [MOFUN GAME CENTER@Korea@海外] Score: 1243534704 
671. F-RAY-A  [超高校級の「ギャル」]    [ARCADE1@Korea@海外] Score: 1233380493 
705. Cree_Fry  [I LOVE 初音ミク]    [GAME TOPIA@Korea@海外] Score: 1213461982 
718. KIRITO  [サイエンスゴッド]    [MOFUN SEOUL@Korea@海外] Score: 1203763681 
838. mow*2  [Are you ready?]    [ARCADE1@Korea@海外] Score: 1146588396 
895. EZ2ON  [S+級ネギトロ]    [MOFUN SEOUL@Korea@海外] Score: 1116721380 
941. Admit???  [店内F CLASS]    [GAME TOPIA@Korea@海外] Score: 1091271199 
994. HPGVR3EX  [I love ATTACK THE MUSIC]    [ATTACK GAME CENTER@Korea@海外] Score: 1057087601 
