112. ICENON*  [OCT, 2017 TOP RANKER]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1579653874 
313. HKB7R  [第三回天下一音ゲ祭 ファイナリスト]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1474359526 
412. Potechi  [第二回天下一音ゲ祭 チャンピオン]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1403037680 
418. 99  [練習中]    [アムズ・上通り店@熊本県@九州] Score: 1396482942 
470. MORUM0  [地球割り神]    [アムズ・上通り店@熊本県@九州] Score: 1345819990 
569. YUZUSOFT  [クロビ勢]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1267619587 
629. ruuna  [半人半霊の神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1227433196 
712. milk-T  [甘い甘い大王]    [スポラ九品寺@熊本県@九州] Score: 1180850318 
726. SCFOPU  [I LOVE EDM]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1174056888 
746. CONVERT  [悪魔の妹]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1167475649 
