113. ICENON*  [OCT, 2017 TOP RANKER]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1578804521 
411. Potechi  [第二回天下一音ゲ祭 チャンピオン]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1403037680 
419. 99  [そんな気分よ女神]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1394538696 
469. MORUM0  [地球割り神]    [アムズ・上通り店@熊本県@九州] Score: 1345819990 
566. YUZUSOFT  [クロビ勢]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1267619587 
628. ruuna  [半人半霊の神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1227433196 
711. milk-T  [甘い甘い大王]    [スポラ九品寺@熊本県@九州] Score: 1180565699 
724. SCFOPU  [I LOVE EDM]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1174056888 
745. CONVERT  [悪魔の妹]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1167475649 
