32. Y*xx-!?  [Future Coaster God]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1627774096 
209. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1561262015 
273. uit  [つらい]    [セガワールド高山@岐阜県@東海] Score: 1525449192 
391. Jacky  [お断リンカちゃん]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1439653614 
405. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1419055388 
667. ITODA  [そんなんARIKA]    [オリエンタルバッティング可児店@岐阜県@東海] Score: 1220815733 
717. NAKAHITO  [しんどい]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1195002248 
718. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1194862730 
730. Na-Nya**  [無理]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1191862284 
