2. K.I.  [God recover run]    [スターダスト@岡山県@中国] Score: 1625000000 
23. SKYMAN  [団子を食べる程に強くなる女神]    [スターダスト@岡山県@中国] Score: 1623010445 
173. YUKKE_GS  [GROOVER]    [岡山ジョイポリス@岡山県@中国] Score: 1574081517 
180. TOKOHA  [無彩色神]    [セガイオンモール岡山@岡山県@中国] Score: 1571454182 
386. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1440767115 
469. Takaha*C  [はじめてのぐるこす]    [アミパラテクノランド店@岡山県@中国] Score: 1369202780 
745. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1180533708 
895. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1102324350 
932. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1075930139 
