178. TOKOHA  [神々が恋した神]    [セガ松山@愛媛県@四国] Score: 1536882071 
480. KUROGANE  [UNDER DEFEAT MASTER]    [タイトーステーション衣山店@愛媛県@四国] Score: 1322995630 
522. NORANEKO  [歌って踊れるゲーマーアイドル]    [セガ松山@愛媛県@四国] Score: 1297074255 
534. COMPILE  [みっくみくにしてやんよ～！]    [セガ松山@愛媛県@四国] Score: 1285845297 
670. seki4ta  [OMAKENO Daiou]    [楽市楽座　イオンモール今治店@愛媛県@四国] Score: 1190311259 
727. KATYO*  [変なTシャツ女神]    [セガ松山@愛媛県@四国] Score: 1167209016 
898. ZARRY  [神霊「夢想封印 瞬」]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1078657361 
990. BAviiiso  [GROOVER]    [ラウンドワン松山店@愛媛県@四国] Score: 1025531692 
999. URS  [メイド秘技「殺人ドール」]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1022652939 
