209. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1555383053 
259. uit  [つらい]    [セガワールド高山@岐阜県@東海] Score: 1528423057 
382. Jacky  [お断リンカちゃん]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1442637005 
403. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1421814381 
544. CHOMOKO  [しんどい]    [セガワールド多治見@岐阜県@東海] Score: 1302682912 
655. ITODA  [そんなんARIKA]    [オリエンタルバッティング可児店@岐阜県@東海] Score: 1223815733 
709. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1197851351 
717. NAKAHITO  [しんどい]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1194911058 
731. Na-Nya**  [無理]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1188149514 
