63. antisan  [四季の最高裁判長]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1589174236 
64. SofLan  [I love Ray series]    [タイトーステーション浅草店@東京都@関東] Score: 1589096412 
65. BRO  [七色の人形使い]    [青森メトロポリス@青森県@東北] Score: 1588941851 
66. Uetsu  [大阪神]    [メジャーゲーム館@新潟県@信越] Score: 1588858886 
67. *_MIKU_*  [MikuMikuGod]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1588853527 
68. NEO+ex  [風神]    [ハイテクランド　キューデン@東京都@関東] Score: 1588497747 
69. LEE  [草の根妖怪ネットワーク]    [キャッツアイ恵庭店@北海道@北海道] Score: 1587567031 
70. ChanM@ru  [Rebellion God]    [タイトーステーション金沢店@石川県@北陸] Score: 1587110026 
71. HIKARU  [ドリームパーティーゴッド]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1586954121 
72. KEYJILL*  [輝く針のリリパット]    [セガ霞ヶ浦@茨城県@関東] Score: 1586713139 
73. M2*NI53  [I AM EDM]    [タイトーステーション弥富店@愛知県@東海] Score: 1586497736 
74. Koton@ri  [Wacky god]    [ラウンドワン広島店@広島県@中国] Score: 1585728033 
75. LEOPARD6  [RAY CRISIS KING]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1585419523 
76. DogDept.  [I love "明星ロケット"]    [ラウンドワン東淀川店@大阪府@近畿] Score: 1585269418 
77. *BUSY-0  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1585121348 
78. Sasuke  [エストポリス神]    [ビッグバン釧路@北海道@北海道] Score: 1584860546 
79. FIEL  [ガンバ、ガンバ、ファイト♪]    [スペースファンタジーインフィニ@青森県@東北] Score: 1584688113 
80. Yahiko*  [SEP, 2017 TOP RANKER]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1584212747 
81. KURI_ZZZ  [ふわっふわ15歳]    [セガワールド豊科@長野県@信越] Score: 1583795763 
82. Xuzuo  [Detonator God]    [TOM'S(DREAM MALL)@Taiwan@海外] Score: 1583479414 
83. MELLROCK  [Ｓ＋級うどん]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1583192139 
84. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1583100280 
85. N4ken@Bs  [旅人]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1582303663 
86. A.S.HERO  [超シューティング神]    [MOFUN SEOUL@Korea@海外] Score: 1582191756 
87. TUXEDO.R  [駆け出し]    [メジャーロード白根店@新潟県@信越] Score: 1582073033 
88. Shin  [完全なる墨染の神]    [ジャムジャム神栖店@茨城県@関東] Score: 1581882243 
89. FRED  [漆黒の堕天使]    [アピナ伊那店@長野県@信越] Score: 1580763134 
90. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1580715656 
91. Kreide  [普通の高校生]    [アピナ松本店@長野県@信越] Score: 1580691650 
92. U5*  [フルボッコ神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1580492567 
93. Makaru.G  [I LOVE てくてくビート]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1580188756 
94. NARSAN  [GAME MUSIC TRIANGLER]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1579948790 
95. CATENARY  [I love "2112410403927243233368"]    [オークランドシティ津店@三重県@東海] Score: 1579405995 
96. P-KANA*  [鵺]    [ラウンドワン草加店@埼玉県@関東] Score: 1579405842 
97. KENO  [ユニコーン]    [ラウンドワン福島店@福島県@東北] Score: 1579135741 
98. Yuly7188  [森羅万象]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1578762290 
99. THOMAS91  [わわわわーにん！]    [STARMU GAME CENTER@Korea@海外] Score: 1578419670 
100. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1578398226 
********************************************************************************************
101. Ryukl*  [天体観測神]    [セガ池袋ギーゴ@東京都@関東] Score: 1577953472 
102. ICENON*  [OCT, 2017 TOP RANKER]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1577831922 
103. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1577523508 
104. chris  [VOLT GOD]    [キャッツアイ篠路店@北海道@北海道] Score: 1577522688 
105. IIBOU  [SUN]    [アピナ上越インター店@新潟県@信越] Score: 1577473911 
106. Rinne!?  [天狼「ハイスピードバウンス」]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1577342581 
107. GUEST  [GROOVER]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1577085925 
108. Yakumo  [みくみく女神♪]    [ラウンドワン大分店@大分県@九州] Score: 1576767222 
109. LEPHIA  [LINK PERFECT]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1576141179 
110. GIL  [二代目超シューティング神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1576121112 
111. NATUNON  [半人半霊の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1576112582 
112. SHUU  [I love "東方外魔伝"]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1576048757 
