48. Shikyo  [Shadow God]    [ビックバン函館@北海道@北海道] Score: 1567207048 
52. Rinne!?  [駆け出し]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1565356101 
119. LEE  [語られる怪力乱神]    [キャッツアイ新札幌店@北海道@北海道] Score: 1547455540 
164. chris  [Detonator God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1530874090 
187. Sasuke  [Gaiden GOD]    [ビッグバン釧路@北海道@北海道] Score: 1521237336 
213. SCP-106  [Are you ready?]    [キャッツアイ篠路店@北海道@北海道] Score: 1506773638 
221. Tokky  [MY FIRST GOD]    [タイトーステーション千歳店@北海道@北海道] Score: 1504940110 
260. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1486948594 
284. Ayahi  [I love "Five to Seven"]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1470840953 
303. BIS(9)  [タイトーLOVE]    [キャッツアイ新札幌店@北海道@北海道] Score: 1463508225 
321. CHIK.WAV  [たのしー！]    [キャッツアイ恵庭店@北海道@北海道] Score: 1445298952 
337. COACH  [地域制覇]    [ギャラクシーゲート函館@北海道@北海道] Score: 1436766091 
339. Syu  [Ever Free God]    [ラウンドワン函館店@北海道@北海道] Score: 1434834243 
361. +HAKASE+  [たーまやーっ！]    [ラウンドワン函館店@北海道@北海道] Score: 1417648247 
364. TKK  [年中イキっていこう～]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1416681140 
414. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1370149925 
418. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1367904782 
456. kanna  [第三回天下一音ゲ祭 ファイナリスト]    [キャッツアイ麻生店@北海道@北海道] Score: 1333267384 
484. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1312330728 
495. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1303126136 
598. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1229195744 
684. tzw10430  [Invader Disco神]    [キャッツアイ清田店@北海道@北海道] Score: 1177436994 
760. SHINDEN  [Chaos God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1144347947 
767. KANONE  [永遠の中二病]    [ギャラクシーゲート函館@北海道@北海道] Score: 1140299046 
769. momonoke  [りんご]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1139728370 
771. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1139338215 
787. AYATAKA  [Are you ready?]    [キャッツアイ手稲店@北海道@北海道] Score: 1128462430 
799. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1118618339 
813. NAZO-J.I  [G.T.]    [キャッツアイ清田店@北海道@北海道] Score: 1111551472 
841. ++CaL+/  [Ｓ＋級からあげ]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1094064940 
851. BOLUX  [Negative Master]    [キャッツアイ手稲店@北海道@北海道] Score: 1090684939 
870. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1078063451 
888. MoyaC.  [とんすひ勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1069268399 
920. Oriens  [God's Blood]    [キャッツアイ麻生店@北海道@北海道] Score: 1056286952 
921. Jibri-l*  [Scarlet Lance God]    [キャッツアイ麻生店@北海道@北海道] Score: 1056185298 
959. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1031726224 
972. A-CID  [スターミュージシャン]    [プラボ小樽店@北海道@北海道] Score: 1027692756 
