66. antisan  [黒龍]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1629354513 
94. N4ken@Bs  [ラバー★神]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1623528142 
161. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1595857363 
330. jun1<39>  [MikuMikuGod]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1493976156 
437. Rz_Ariel  [絶対思想啓蒙局神]    [タイトーフジグラン北島店@徳島県@四国] Score: 1409775460 
554. Y.G.insa  [零式神]    [タイトーフジグラン北島店@徳島県@四国] Score: 1307451119 
736. Rz_m4lly  [しんどい]    [タイトーフジグラン北島店@徳島県@四国] Score: 1194561469 
744. GS*9*  [つらい]    [アポロゲームセンター沖洲店@徳島県@四国] Score: 1191507290 
803. jin  [会いたい神]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1165074396 
