90. ICENON*  [九尾]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1565629327 
280. HKB7R  [第三回天下一音ゲ祭 ファイナリスト]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1481494318 
428. 99  [電脳紀行神]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1366000406 
551. YUZUSOFT  [ふわっふわ15歳]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1267603826 
631. ZONE  [シンガポール勢]    [リッチモンド@熊本県@九州] Score: 1209905082 
667. ruuna  [半人半霊の神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1192236370 
690. SCFOPU  [I LOVE EDM]    [ｎａｍｃｏゆめタウン光の森店@熊本県@九州] Score: 1180538967 
717. CONVERT  [悪魔の妹]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1170532701 
733. milk-T  [甘い甘い大王]    [スポラ九品寺@熊本県@九州] Score: 1161141010 
