49. LEE  [歴史喰いの半獣]    [キャッツアイ新札幌店@北海道@北海道] Score: 1637654416 
62. Sasuke  [犬神]    [ビッグバン釧路@北海道@北海道] Score: 1634419499 
89. Shikyo  [Shadow God]    [キャッツアイ麻生店@北海道@北海道] Score: 1627471893 
102. chris  [Detonator God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1624807157 
169. Rinne!?  [期待の新人]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1593911526 
261. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1541339606 
297. SCP-106  [無理]    [キャッツアイ篠路店@北海道@北海道] Score: 1518540522 
302. Yui.  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1516588183 
306. CHIK.WAV  [尊い・・・]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1515382933 
312. BIS(9)  [すっごーい！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1510889915 
339. COACH  [I love ATTACK THE MUSIC]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1486565709 
344. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1483366646 
348. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1478466983 
371. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1463613449 
396. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1436618391 
438. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1408202172 
499. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1354646240 
517. AYATAKA  [Satisfiction King]    [キャッツアイ手稲店@北海道@北海道] Score: 1332999676 
555. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1305148682 
563. HIDEO  [北海道勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1301398354 
583. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1286707334 
625. tzw10430  [空想神]    [キャッツアイ新札幌店@北海道@北海道] Score: 1260200655 
644. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1244046545 
682. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1221857621 
712. SHINDEN  [God more raves?]    [キャッツアイ手稲店@北海道@北海道] Score: 1204850147 
834. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1145081947 
835. Oriens  [DEC, 2017 TOP RANKER]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1144601512 
846. BOLUX  [つらい]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1137052077 
862. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1130234102 
873. Shivaty  [railgun god]    [ビックバン函館@北海道@北海道] Score: 1125711353 
876. Jibri-l*  [Solar God]    [キャッツアイ麻生店@北海道@北海道] Score: 1123312477 
885. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
919. ++CaL+/  [Ｓ＋級からあげ]    [タイトーステーション千歳店@北海道@北海道] Score: 1098985377 
920. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
928. MoyaC.  [世界で一番宇宙で銀河]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1094259623 
930. Bump  [天体観測大王]    [キャッツアイ麻生店@北海道@北海道] Score: 1091682436 
974. KLESS  [I love "魔法少女幸福論"]    [キャッツアイ麻生店@北海道@北海道] Score: 1066319742 
991. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1057436119 
997. S@KRAMnT  [真・一億段]    [ファンタジープラザ苫小牧@北海道@北海道] Score: 1052590256 
