2. K.I.  [GLITHCRE GOD]    [セガイオンモール岡山@岡山県@中国] Score: 1643000000 
22. SKYMAN  [名も無い幼い神]    [スターダスト@岡山県@中国] Score: 1640989661 
173. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1591097989 
382. Yu-ki  [アイエエエエエ！]    [アミパラ津山店@岡山県@中国] Score: 1452965518 
464. NEB  [リヴァイアサン]    [セガイオンモール岡山@岡山県@中国] Score: 1389208176 
654. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1236676115 
772. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1174929209 
925. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1095356670 
958. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1072946010 
