213. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1533227185 
238. tsuccho  [夢に向かって飛び立て！]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1524012166 
264. uit  [エンジェル]    [セガワールド高山@岐阜県@東海] Score: 1507042265 
410. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1404192695 
557. CHOMOKO  [時間を操るメイド]    [セガワールド多治見@岐阜県@東海] Score: 1278209746 
650. CHEN.  [バーカバーカ！]    [オアシス本店@岐阜県@東海] Score: 1210763745 
675. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1197851351 
737. Na-Nya**  [I love "Weave Detonator"]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1171971143 
955. Kaze!?  [清らかな女神]    [オリエンタルバッティング可児店@岐阜県@東海] Score: 1050652406 
