1. marirui  [Ｓ級幼稚園児]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1643000000 
2. K.I.  [GLITHCRE GOD]    [セガイオンモール岡山@岡山県@中国] Score: 1643000000 
3. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1642986735 
4. NARSAN  [GAME MUSIC TRIANGLER]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1642969199 
5. zoroakun  [ケルベロス]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1642956873 
6. HIHIME  [朱雀]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1642894890 
7. WARNING  [WARNING!!]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1642834072 
8. Megumin  [Ｓ＋級たい焼き]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1642706135 
9. Hirojixi  [夢現神]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1642687998 
10. pillow  [「馬鹿じゃないの？」]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1642615457 
11. K.x*N3  [God recover run]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1642464055 
12. Shisa  [GLITHCRE GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1642428096 
13. Hazuneko  [環状線神]    [WAWA EMPIRE(YIJHONG)@Taiwan@海外] Score: 1642361750 
14. DogDept.  [sister's king]    [ラウンドワン東淀川店@大阪府@近畿] Score: 1642334358 
15. mikan?  [あのね…実はわたし、女神なんだ…?]    [青森メトロポリス@青森県@東北] Score: 1641791340 
16. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1641747703 
17. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1641740875 
18. PoCkRo.B  [うー！がぉー！]    [新宿プレイランドカーニバル@東京都@関東] Score: 1641729623 
19. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1641200378 
20. SofLan  [無理]    [タイトーステーション浅草店@東京都@関東] Score: 1641097229 
21. 2K-DeW  [God noir forever.]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1641060898 
22. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1641004590 
23. YUKIMARU  [Linear God]    [タイトーステーション大須店@愛知県@東海] Score: 1640997623 
24. SKYMAN  [名も無い幼い神]    [スターダスト@岡山県@中国] Score: 1640989661 
25. TyonTa  [Reload God]    [タイトーイン綾瀬@東京都@関東] Score: 1640929487 
26. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1640653154 
27. BL4CK3M0  [アザレアの神]    [プレイランドキング円町店@京都府@近畿] Score: 1640559219 
28. Hei*  [God of Moon]    [AMERICAN POOL@Hong Kong@海外] Score: 1640447753 
29. B  [バレットゴッド]    [セガ安城@愛知県@東海] Score: 1640366549 
30. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1640143614 
31. HAK0BUNE  [Groove master?]    [コムテックタワー@愛知県@東海] Score: 1639939992 
32. MiroT  [Lethal Dose God]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1639917748 
33. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1639891403 
34. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1639870091 
35. MHRJ  [星の歌姫]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1639801703 
36. GUREKO+  [超COOL!]    [ロックンボウル@秋田県@東北] Score: 1639430584 
37. QWERTZ  [臥薪嘗胆]    [ビーカム松森店@宮城県@東北] Score: 1639418041 
38. LEAF  [Ｓ＋級たい焼き]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1639257139 
39. CloudyB.  [真・十溝段]    [ATTACK GAME CENTER@Korea@海外] Score: 1638924489 
40. Inver  [神の末裔の亡霊]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1638869156 
41. ERION+++  [I love "働かずに食う [IA Ver.]"]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1638581976 
42. tsnk  [名も無い幼い神]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1638496155 
43. 9_tan*40  [九龍神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1638418969 
44. Shikyo  [Shadow God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1638411476 
45. /*nYa  [鵺]    [メジャーゲーム館@新潟県@信越] Score: 1638375146 
46. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1638334187 
47. ISiNKaGe  [Shadow God]    [タイトーステーション所沢店@埼玉県@関東] Score: 1638207672 
48. OKA-MH  [とり天]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1638128644 
49. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1638099060 
50. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1638053848 
51. KenWong  [水中だと力が増す人魚]    [CHON SHING GAME CENTER@Hong Kong@海外] Score: 1637798689 
52. LEE  [歴史喰いの半獣]    [キャッツアイ新札幌店@北海道@北海道] Score: 1637654416 
53. SCOTT  [春夏秋冬の神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1637648160 
54. KEYJILL*  [変なTシャツ女神]    [セガ霞ヶ浦@茨城県@関東] Score: 1636867740 
55. TAK1  [「馬鹿じゃないの？」]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1636742828 
56. *Gamer*  [HARDCORE SYNDROME]    [タイトーイン綾瀬@東京都@関東] Score: 1636647520 
57. Mavis.V  [God more raves?]    [ファンタジーパーク@栃木県@関東] Score: 1636549944 
58. *_MIKU_*  [空想神]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1636408305 
59. CROW  [しんどい]    [Ｈｅｙ@東京都@関東] Score: 1636212392 
60. SEA+EX  [鵺]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1636023631 
61. NEO+ex  [S級真田信之]    [ハイテクランド　キューデン@東京都@関東] Score: 1635706951 
62. BRO  [沖縄勢]    [青森メトロポリス@青森県@東北] Score: 1635631371 
63. Xuzuo  [Detonator God]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1635135909 
64. Sasuke  [犬神]    [ビッグバン釧路@北海道@北海道] Score: 1634431640 
65. INDEX  [究極進化！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1634384974 
66. Uetsu  [大阪神]    [メジャーゲーム館@新潟県@信越] Score: 1634181093 
67. ChanM@ru  [つらい]    [タイトーステーション金沢店@石川県@北陸] Score: 1634171946 
68. antisan  [Can Do God]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1634076645 
69. Koton@ri  [Ｓ＋級カレー]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1633379270 
70. HIKARU  [GOD OF REVIVAL]    [コムテックタワー@愛知県@東海] Score: 1632669642 
71. U5*  [てゐ神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1632393247 
72. LEOPARD6  [GLITHCRE KING]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1631663700 
73. 44327  [マーメイド]    [ラウンドワン福山店@広島県@中国] Score: 1631530227 
74. 9*cM  [「馬鹿じゃないの？」]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1631188101 
75. Komimi  [S＋級ドリア]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1630742294 
76. Yahiko*  [無彩色神]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1630461682 
77. FRED  [「叫べ 叫べ 遠くへ」]    [アピナ伊那店@長野県@信越] Score: 1630401940 
78. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション弥富店@愛知県@東海] Score: 1629981578 
79. SMP  [電脳紀行神]    [ナムコランド広島店@広島県@中国] Score: 1629798468 
80. FIEL  [北海道勢]    [スペースファンタジーインフィニ@青森県@東北] Score: 1629669347 
81. TUXEDO.R  [駆け出し]    [カプコサーカス新潟東店@新潟県@信越] Score: 1629432828 
82. Yakumo  [みくみく女神♪]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1629222731 
83. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1629105493 
84. L.pis*YY  [QLWAGOD]    [ラウンドワン郡山店@福島県@東北] Score: 1629086426 
85. NORIp  [名も無い幼い神]    [カレッジ・スクエア@山形県@東北] Score: 1628395506 
86. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1628369125 
87. N4ken@Bs  [旅人]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1628362457 
88. Ryukl*  [God a pain cover?]    [セガ池袋ギーゴ@東京都@関東] Score: 1628242956 
89. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1627996167 
90. M2*NI53  [「燃やせ 燃やせ その心を」]    [コムテックタワー@愛知県@東海] Score: 1627802807 
91. juni  [無名の神]    [セガ鳥取@鳥取県@中国] Score: 1627331952 
92. IIBOU  [自然の敵]    [タイトーＦステーション上越店@新潟県@信越] Score: 1627071603 
93. SHUU  [I love "ouroboros -twin stroke of the end-"]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1627055085 
94. CATENARY  [31337神]    [セガ金山@愛知県@東海] Score: 1626480683 
95. LIMIO  [未確認幻想飛行少女]    [ラウンドワン盛岡店@岩手県@東北] Score: 1625784278 
96. A.S.HERO  [姉の歌姫]    [ATTACK GAME CENTER@Korea@海外] Score: 1625743456 
97. Y*xx-!?  [でんぱ神]    [ゲームディーノ彦根店@滋賀県@近畿] Score: 1625657548 
98. Shin  [OVER THE GOD]    [宝島　鹿嶋店@茨城県@関東] Score: 1625504261 
99. 2CYR  [永遠に紅い幼き月]    [ラッキー西千葉店@千葉県@関東] Score: 1625452351 
100. HITACHI  [わぁい神様大好き]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1625304479 
********************************************************************************************
101. FUJIN  [AM貴族　すたどんたん女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1624849198 
102. chris  [Detonator God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1624807157 
103. Law  [Reload God]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1624764003 
104. KUPU  [CERAMIC GOD]    [タイトーステーション弥富店@愛知県@東海] Score: 1623906650 
105. Yuly7188  [LINK PERFECT]    [Ｇ－ＳＴＡ@鹿児島県@九州] Score: 1622825226 
106. GUEST  [GROOVER]    [群馬レジャーランド伊勢崎店@群馬県@関東] Score: 1622622518 
107. LEPHIA  [LINK PERFECT]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1622559180 
108. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1622347174 
109. Makaru.G  [みんなのアイドル]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1622106992 
110. KYONKO  [LINK PERFECT]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1621775620 
111. KENO  [初代スコアタ伯爵]    [ラウンドワン福島店@福島県@東北] Score: 1620037280 
112. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1619385232 
