30. CloudyB.  [真・十溝段]    [MOFUN SEOUL@Korea@海外] Score: 1653915573 
108. A.S.HERO  [I love 世阿弥]    [ATTACK GAME CENTER@Korea@海外] Score: 1636762352 
112. VERDURE  [17K KING]    [ARCADE1@Korea@海外] Score: 1632855178 
119. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1628949621 
325. Melonism  [秘弾「そして誰もいなくなるか？」]    [ATTACK GAME CENTER@Korea@海外] Score: 1513182093 
386. KUROKO  [からかさ神]    [ARCADE1@Korea@海外] Score: 1461030166 
470. Arslan  [隊長さん]    [ATTACK GAME CENTER@Korea@海外] Score: 1395501428 
583. SiL_VER1  [グルーヴ三百段]    [MOFUN SEOUL@Korea@海外] Score: 1297252120 
589. HyoJJi!  [I love Xenoa]    [ARCADE1@Korea@海外] Score: 1295219023 
660. F-RAY-A  [超高校級の「ギャル」]    [ARCADE1@Korea@海外] Score: 1247051570 
680. XER0  [ECLIPSES EYE]    [MOFUN GAME CENTER@Korea@海外] Score: 1234986364 
725. Cree_Fry  [I LOVE 初音ミク]    [GAME TOPIA@Korea@海外] Score: 1207750110 
749. KIRITO  [サイエンスゴッド]    [MOFUN SEOUL@Korea@海外] Score: 1194775923 
835. mow*2  [Are you ready?]    [ARCADE1@Korea@海外] Score: 1155976833 
918. EZ2ON  [S+級ネギトロ]    [MOFUN SEOUL@Korea@海外] Score: 1107772498 
965. Admit???  [店内F CLASS]    [GAME TOPIA@Korea@海外] Score: 1082290316 
