2. K.I.  [God recover run]    [スターダスト@岡山県@中国] Score: 1632000000 
20. SKYMAN  [団子を食べる程に強くなる女神]    [スターダスト@岡山県@中国] Score: 1629999483 
184. YUKKE_GS  [GROOVER]    [岡山ジョイポリス@岡山県@中国] Score: 1574081517 
194. TOKOHA  [無彩色神]    [セガイオンモール岡山@岡山県@中国] Score: 1571454182 
379. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1447201480 
472. Takaha*C  [はじめてのぐるこす]    [スターダスト@岡山県@中国] Score: 1370335196 
752. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1180533708 
903. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1102324350 
938. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1075930139 
