1. marirui  [ディセイブ ゴッド]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1564000000 
2. K.I.  [カーナビ神]    [スターダスト@岡山県@中国] Score: 1564000000 
3. YUKIMARU  [Good Night, Bad God.]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1563999793 
4. newxh  [世界で一番宇宙で銀河]    [タイトーステーション所沢店@埼玉県@関東] Score: 1563999793 
5. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1563985846 
6. Lasty  [I love "ようこそジャパリパークへ"]    [セガ安城@愛知県@東海] Score: 1563929484 
7. zoroakun  [ファイナルスパーク神]    [セガワールド小山@栃木県@関東] Score: 1563875818 
8. WARNING  [WARNING!!]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1563812537 
9. HIHIME  [朱雀]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1563801546 
10. Megumin  [全知全能の神]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1563614936 
11. ERION+++  [I love "Black Moon Sympathy"]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1563335380 
12. Shisa  [破壊神]    [セガ霞ヶ浦@茨城県@関東] Score: 1563319455 
13. Hirojixi  [夢現神]    [セガワールド上小田井@愛知県@東海] Score: 1563282407 
14. DogDept.  [大阪勢]    [タイトーステーション浜松店@静岡県@東海] Score: 1563278286 
15. B  [「幼女の世界」]    [セガ安城@愛知県@東海] Score: 1563263313 
16. pillow  [ちょっぴりセクシー]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1563228037 
17. Hazuneko  [猫神]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1563203558 
18. CROW  [Burst GOD]    [タイトーステーション大宮店@埼玉県@関東] Score: 1562814372 
19. LIMIO  [Black God]    [タイトーイオンモール佐野新都市@栃木県@関東] Score: 1562797660 
20. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1562657759 
21. Rinne!?  [サテライトゴッド]    [プラボ札幌西町店@北海道@北海道] Score: 1562387695 
22. L.pis*YY  [労働反対神]    [ＴＡＣ郡山@福島県@東北] Score: 1562383228 
23. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1562126637 
24. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1562042648 
25. SofLan  [超シューティング神]    [タイトーステーション浅草店@東京都@関東] Score: 1562017614 
26. TyonTa  [腹ぺこ]    [タイトーイン綾瀬@東京都@関東] Score: 1561983216 
27. SKYMAN  [2112410403 2504434504]    [スターダスト@岡山県@中国] Score: 1561920004 
28. Y*xx-!?  [月光大王]    [セガワールド草津@滋賀県@近畿] Score: 1561874680 
29. LUCA  [変なTシャツ女神]    [タイトーステーション町田店@東京都@関東] Score: 1561863459 
30. 2K-DeW  [God a pain cover?]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1561608493 
31. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1561377645 
32. Hei*  [幻想郷の神主]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1561320688 
33. KER?  [香港勢]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1560812529 
34. QWERTZ  [不撓不屈]    [ビーカム松森店@宮城県@東北] Score: 1560291937 
35. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1560276570 
36. MiroT  [G.T.]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1560171423 
37. Mavis.V  [Shadow God]    [ファンタジーパーク@栃木県@関東] Score: 1560114366 
38. CloudyB.  [真・千穣段]    [ATTACK GAME CENTER@Korea@海外] Score: 1559752174 
39. Inver  [PaⅢ.GOD]    [アドアーズ大和Ａ館@神奈川県@関東] Score: 1559730675 
40. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1559686350 
41. LEAF  [Ｓ＋級たい焼き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1559532069 
42. GUREKO+  [超シューティング神]    [ロックンボウル@秋田県@東北] Score: 1559442875 
43. HAK0BUNE  [PaⅢ.GOD]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1559411352 
44. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1559025599 
45. tsnk  [UFO-CO神]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1558981484 
46. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1558964318 
47. ISiNKaGe  [影の神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1558855581 
48. yetogen  [God a pain cover?]    [プレイランドキング円町店@京都府@近畿] Score: 1558851863 
49. 44327  [Stardust God]    [ラウンドワン福山店@広島県@中国] Score: 1558788855 
50. SMP  [DIVINE GOD]    [ナムコランド広島店@広島県@中国] Score: 1558747910 
51. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1558709064 
52. KenWong  [AXION KING]    [AMERICAN POOL@Hong Kong@海外] Score: 1558692828 
53. CATENARY  [I love "2112410403927243233368"]    [アーバンスクエア大須@愛知県@東海] Score: 1558419799 
54. Shikyo  [Shadow God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1558275641 
55. /*nYa  [道なき道の開拓者]    [メジャーゲーム館@新潟県@信越] Score: 1558237549 
56. Albireo  [クエーサー]    [プレイロットジョイ@東京都@関東] Score: 1557690678 
57. YAMA-!?  [骸骨神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1557457967 
58. *BUSY-0  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1557138039 
59. SEA+EX  [天衣無縫]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1557076846 
60. antisan  [Freedom God]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1556360892 
61. TAK1  [フィギュアヘッズ勢]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1556245067 
62. Uetsu  [大阪神]    [メジャーゲーム館@新潟県@信越] Score: 1556052354 
63. FUJIN  [地域制覇]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1555997707 
64. LEPHIA  [超シューティング神]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1555722723 
65. BRO  [ゴッド・オブ・ナイツ]    [スペースファンタジーインフィニ@青森県@東北] Score: 1555398776 
66. NEO+ex  [九尾]    [ハイテクランド　キューデン@東京都@関東] Score: 1555223296 
67. BEGINNER  [GROOVER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1555189200 
68. Makaru.G  [I LOVE 鏡音レン]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1555105169 
69. Koton@ri  [Wacky god]    [セガワールド長崎ココウォーク@長崎県@九州] Score: 1554781980 
70. Eagle.  [Ever…]    [タイトーステーション池袋西口店@東京都@関東] Score: 1554573889 
71. M2*NI53  [URANUS]    [キングジョイ@愛知県@東海] Score: 1553883831 
72. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1553827265 
73. HIKARU  [アスノヨゾラ神班]    [コムテックタワー@愛知県@東海] Score: 1553724979 
74. ChanM@ru  [Rebellion God]    [タイトーステーション金沢店@石川県@北陸] Score: 1553639287 
75. Cocoa.*  [HARDCORE SYNDROME]    [ＳＵＰＥＲＷＡＶＥ静岡店@静岡県@東海] Score: 1553476162 
76. U5*  [□△×○神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1553303793 
77. PoCkRo.B  [I love "ようこそジャパリパークへ"]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1553214541 
78. LEMON-E  [オツキミ神]    [ラッキー八千代店@千葉県@関東] Score: 1552741802 
79. P-KANA*  [期待の新人]    [ラウンドワン草加店@埼玉県@関東] Score: 1552674236 
80. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1552624616 
81. M4R1S4  [天衣無縫の神霊]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1552345134 
82. 9M@NO3  [富山勢]    [プレイロットジョイ@東京都@関東] Score: 1551939844 
83. LEOPARD6  [GOD]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1551803117 
84. Sekirei  [第三回天下一音ゲ祭 チャンピオン]    [遊スペース　マジカル@兵庫県@近畿] Score: 1551768599 
85. FIEL  [未来も、希望も、奪還する！]    [スペースファンタジーインフィニ@青森県@東北] Score: 1551468616 
86. Kissshot  [絶対思想啓蒙局神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1551431649 
87. Yahiko*  [HONEY SUNRiSE GODDESS]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1550989324 
88. POTETO  [戦車女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1550926413 
89. MHRJ  [星の歌姫]    [タイトーステーション大須店@愛知県@東海] Score: 1550774864 
