3. K.I.  [ouroboros god]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1603000000 
53. antisan  [四季の最高裁判長]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1595012900 
83. N4ken@Bs  [旅人]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1588202530 
171. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1559522716 
398. Rz_Ariel  [絶対思想啓蒙局神]    [タイトーフジグラン北島店@徳島県@四国] Score: 1412775460 
530. Y.G.insa  [エイリアンエイリアンゴッド]    [タイトーフジグラン北島店@徳島県@四国] Score: 1299406175 
717. GS*9*  [S級明智光秀]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1177005581 
719. Rz_m4lly  [カーナビ先生]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1175527884 
746. jin  [会いたい神]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1168071933 
