95. ICENON*  [夢現神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1559695007 
282. HKB7R  [第三回天下一音ゲ祭 ファイナリスト]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1475560855 
398. Potechi  [第二回天下一音ゲ祭 チャンピオン]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1395186452 
429. 99  [練習中]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1362083788 
550. YUZUSOFT  [ふわっふわ15歳]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1264626001 
671. ruuna  [半人半霊の神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1186551720 
695. SCFOPU  [I LOVE EDM]    [ｎａｍｃｏゆめタウン光の森店@熊本県@九州] Score: 1174767624 
720. CONVERT  [悪魔の妹]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1164873963 
740. milk-T  [甘い甘い大王]    [スポラ九品寺@熊本県@九州] Score: 1155788924 
