66. antisan  [Freedom God]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1571353544 
99. N4ken@Bs  [小さな小さな神]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1564159210 
178. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1535720169 
370. Rz_Ariel  [絶対思想啓蒙局神]    [タイトーフジグラン北島店@徳島県@四国] Score: 1420706184 
503. Y.G.insa  [エイリアンエイリアンゴッド]    [タイトーフジグラン北島店@徳島県@四国] Score: 1308369999 
702. jin  [会いたい神]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1176922359 
722. Rz_m4lly  [ピュアスマイル]    [タイトーフジグラン北島店@徳島県@四国] Score: 1169498565 
735. GS*9*  [Burst KING]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1161747617 
762. BLAZE  [ソウルメイト]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1149065168 
