143. YUUTO***  [ろくでなし先生]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1670429907 
314. uit  [しんどい]    [セガワールド高山@岐阜県@東海] Score: 1556563425 
379. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1497046372 
479. Jacky  [お断リンカちゃん]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1418759033 
511. CHOMOKO  [金色の異端児]    [セガワールド多治見@岐阜県@東海] Score: 1385759353 
670. NAKAHITO  [変なTシャツヤロー]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1270363774 
701. Na-Nya<<  [魔奴化]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1247298248 
773. ITODA  [そんなんARIKA]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1202941559 
815. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1177743100 
