12. K.x*N3  [God recover run]    [ＯＫ－コーラル@新潟県@信越] Score: 1631296072 
30. /*nYa  [ADRENA GOD]    [メジャーゲーム館@新潟県@信越] Score: 1627073081 
80. Uetsu  [つらい]    [メジャーゲーム館@新潟県@信越] Score: 1616492079 
85. IIBOU  [I love "弱虫モンブラン"]    [タイトーＦステーション上越店@新潟県@信越] Score: 1615575138 
98. 9M@NO3  [日本一周]    [プレイランド長岡店@新潟県@信越] Score: 1611976477 
107. TUXEDO.R  [駆け出し]    [ラウンドワン新潟店@新潟県@信越] Score: 1607328201 
154. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1586005008 
244. 10-LL*  [OMAKENO Kamisama]    [メジャーロード黒埼店@新潟県@信越] Score: 1541353521 
298. IMAE  [I love "骸骨楽団とリリア"]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1506249744 
323. JAMOJI  [メリークルシミマス！]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1491512278 
374. Re***  [しんどい]    [プレイランド長岡店@新潟県@信越] Score: 1449198889 
389. unagi  [(ﾟ∀ﾟ)o彡゜ごっど！ごっど！]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1440732786 
458. Kero  [落ち着きなさNo.1]    [ラウンドワン新潟店@新潟県@信越] Score: 1381665650 
529. KOUXT  [MikuRinGod]    [メジャーロード黒埼店@新潟県@信越] Score: 1314634794 
626. KEITA_KU  [しんどい]    [メジャーゲーム館@新潟県@信越] Score: 1246149355 
777. Kouhei  [ouroboros king]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1168141585 
806. HATHUNE  [morning god]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1155801117 
811. KANO_8  [アンハッピーゴッド]    [カプコサーカス新潟東店@新潟県@信越] Score: 1152843662 
852. banal  [ニャスニャス！]    [上越レジャーランボウル@新潟県@信越] Score: 1130806529 
886. Nonnnn**  [無彩色神]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1108394165 
897. gatta  [小さな百鬼夜行]    [カプコサーカス新潟東店@新潟県@信越] Score: 1103189274 
943. Nagisa  [アザレアの神]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1073260354 
954. Y.  [つらい]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1067495828 
976. SAKU*  [骸骨神]    [カプコサーカス新潟東店@新潟県@信越] Score: 1058276345 
