2. K.I.  [第四回天下一音ゲ祭 ファイナリスト]    [スターダスト@岡山県@中国] Score: 1687000000 
25. SKYMAN  [恋愛神]    [スターダスト@岡山県@中国] Score: 1684958669 
174. YUKKE_GS  [GROOVER]    [岡山ジョイポリス@岡山県@中国] Score: 1635222546 
377. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1490243097 
519. Takaha*C  [はじめてのぐるこす]    [アミパラテクノランド店@岡山県@中国] Score: 1365918597 
799. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1179727847 
953. JUN  [Ｓ＋級グラタン]    [セガイオンモール岡山@岡山県@中国] Score: 1105253876 
958. eden!  [吉備団子]    [スターダスト@岡山県@中国] Score: 1101252138 
998. Yuki  [死欲の半霊]    [スターダスト@岡山県@中国] Score: 1076855583 
