94. Makaru.G  [紅蓮の子ら]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1615549079 
95. Yuly7188  [天下無双]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1615439294 
141. NIS@  [無理]    [マンガ倉庫　鹿児島店@鹿児島県@九州] Score: 1594691779 
150. G.urakaM  [NORMAL TENSION]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1592831058 
163. ZONE  [シンガポール勢]    [セガワールド出水@鹿児島県@九州] Score: 1587330669 
496. MORUM0  [地球割り神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1345673444 
575. necco*  [INFINITY]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1284492965 
576. se@3156  [しんどい]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1283974244 
763. BIGaaaaa  [King of groove frontier.]    [マンガ倉庫　鹿児島店@鹿児島県@九州] Score: 1174450628 
