77. ICENON*  [九尾]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1565629327 
277. HKB7R  [ふわっふわ15歳]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1481494318 
426. 99  [電脳紀行神]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1366000406 
549. YUZUSOFT  [ふわっふわ15歳]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1267603826 
659. ZONE  [シンガポール勢]    [リッチモンド@熊本県@九州] Score: 1193391128 
669. ruuna  [半人半霊の神]    [スポラ九品寺@熊本県@九州] Score: 1189194330 
690. SCFOPU  [I LOVE EDM]    [ｎａｍｃｏゆめタウン光の森店@熊本県@九州] Score: 1180538967 
711. CONVERT  [悪魔の妹]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1170532701 
731. milk-T  [甘い甘い大王]    [スポラ九品寺@熊本県@九州] Score: 1160954157 
