44. CloudyB.  [真・十溝段]    [MOFUN SEOUL@Korea@海外] Score: 1607897231 
107. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1593319489 
108. A.S.HERO  [超シューティング神]    [MOFUN SEOUL@Korea@海外] Score: 1593111212 
122. VERDURE  [すうぃーと☆ゴッド]    [ARCADE1@Korea@海外] Score: 1586165608 
342. Melonism  [秘弾「そして誰もいなくなるか？」]    [STARMU GAME CENTER@Korea@海外] Score: 1464498102 
371. KUROKO  [からかさ神]    [GAME TOPIA@Korea@海外] Score: 1441757502 
446. Arslan  [Bright God]    [GAME TOPIA@Korea@海外] Score: 1381795349 
530. SiL_VER1  [グルーヴ三百段]    [MOFUN SEOUL@Korea@海外] Score: 1308109559 
593. HyoJJi!  [Don't stop funky music!]    [GAME TOPIA@Korea@海外] Score: 1260605290 
612. XER0  [ECLIPSES EYE]    [MOFUN GAME CENTER@Korea@海外] Score: 1246461640 
671. KIRITO  [サイエンスゴッド]    [MOFUN SEOUL@Korea@海外] Score: 1206763681 
677. Cree_Fry  [Don't stop funky music!]    [GAME TOPIA@Korea@海外] Score: 1203025077 
704. F-RAY-A  [超高校級の「ギャル」]    [ARCADE1@Korea@海外] Score: 1193459021 
830. mow*2  [Are you ready?]    [STARMU GAME CENTER@Korea@海外] Score: 1134685602 
859. EZ2ON  [S+級ネギトロ]    [MOFUN SEOUL@Korea@海外] Score: 1119721380 
902. Admit???  [店内F CLASS]    [GAME TOPIA@Korea@海外] Score: 1094271199 
988. juno  [UFO-CO大王]    [ARCADE1@Korea@海外] Score: 1044559887 
