44. Rinne!?  [ゆっくりしていってね！]    [プラボ札幌西町店@北海道@北海道] Score: 1574345958 
49. Shikyo  [四季の最高裁判長]    [キャッツアイ麻生店@北海道@北海道] Score: 1573883282 
56. LEE  [山坂と湖の権化]    [キャッツアイ恵庭店@北海道@北海道] Score: 1573440147 
121. Sasuke  [God's Blood]    [ビッグバン釧路@北海道@北海道] Score: 1557904142 
125. chris  [Detonator God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1555706807 
227. SCP-106  [たのしー！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1510804778 
232. Tokky  [MY FIRST GOD]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1508916089 
260. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1494893953 
299. Ayahi  [I love "Five to Seven"]    [キャッツアイ新札幌店@北海道@北海道] Score: 1470873356 
306. BIS(9)  [I love チルノ]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1468526866 
324. CHIK.WAV  [バーカバーカ！]    [タイトーステーション千歳店@北海道@北海道] Score: 1452311400 
338. COACH  [白虎]    [タイトーステーション札幌狸小路@北海道@北海道] Score: 1442700118 
347. +HAKASE+  [「明日はきっと雨だ。」]    [ラウンドワン函館店@北海道@北海道] Score: 1437113115 
348. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1436857596 
361. TKK  [年中イキっていこう～]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1425771858 
416. NEB  [リヴァイアサン]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1377669808 
421. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1371985356 
423. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1371071710 
489. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1316205346 
505. Kamui.  [悪ノ女神]    [ディノスパークノルベサ@北海道@北海道] Score: 1305037174 
599. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1235994589 
677. tzw10430  [独りんぼ神]    [タイトーイオンモール札幌平岡店@北海道@北海道] Score: 1185504680 
725. AYATAKA  [パンプキン神]    [キャッツアイ手稲店@北海道@北海道] Score: 1167720750 
756. SHINDEN  [Chaos God]    [キャッツアイ篠路店@北海道@北海道] Score: 1152336712 
776. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1141405762 
779. KANONE  [永遠の中二病]    [ギャラクシーゲート函館@北海道@北海道] Score: 1140299046 
782. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1139338215 
813. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1123148496 
818. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1118618339 
851. BOLUX  [RED ALERT]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1098605344 
858. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1094064940 
888. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1078063451 
904. MoyaC.  [とんすひ勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1071248847 
931. Jibri-l*  [Scarlet Lance God]    [キャッツアイ麻生店@北海道@北海道] Score: 1058273532 
938. Oriens  [God's Blood]    [キャッツアイ麻生店@北海道@北海道] Score: 1056286952 
959. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1044700986 
968. A-CID  [スターミュージシャン]    [プラボ小樽店@北海道@北海道] Score: 1039865632 
975. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1034601509 
