2. K.I.  [第四回天下一音ゲ祭 ファイナリスト]    [スターダスト@岡山県@中国] Score: 1680000000 
168. ZONE  [シンガポール勢]    [スターダスト@岡山県@中国] Score: 1627118142 
191. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1618173023 
386. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1470982388 
511. Takaha*C  [はじめてのぐるこす]    [アミパラテクノランド店@岡山県@中国] Score: 1365918597 
641. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1271540095 
793. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1179727847 
954. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1098325830 
989. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1072946010 
