25. SKYMAN  [団子を食べる程に強くなる女神]    [スターダスト@岡山県@中国] Score: 1616025698 
184. YUKKE_GS  [GROOVER]    [岡山ジョイポリス@岡山県@中国] Score: 1567420366 
389. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1434158319 
464. Takaha*C  [はじめてのぐるこす]    [アミパラテクノランド店@岡山県@中国] Score: 1372202780 
662. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1217284220 
736. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1183527481 
885. Foxy  [ワーウルフ]    [スターダスト@岡山県@中国] Score: 1107472157 
889. eden!  [GOD]    [ユーズランド倉敷店@岡山県@中国] Score: 1105324350 
928. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1078923038 
