84. Yakumo  [みくみく女神♪]    [ラウンドワン大分店@大分県@九州] Score: 1594570592 
121. ICENON*  [God hive of Ra]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1581641487 
211. Goat  [I love "ouroboros -twin stroke of the end-"]    [セガワールド高城@大分県@九州] Score: 1539367060 
243. yukineko  [全都道府県グルメ完食]    [ラウンドワン大分店@大分県@九州] Score: 1522602237 
277. BANANA  [大阪勢]    [ＨＬＳハーバープレイス@大分県@九州] Score: 1504842492 
409. 3Ka-LL  [dis-human]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1407276061 
800. ToshiEXE  [衝撃のIMPULSE,ゆらめくMIRAGE]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1142711108 
866. NAO(*_*)  [リズム感の神]    [タイトーＦＳセントポルタ大分店@大分県@九州] Score: 1108754754 
899. Yufuwin  [ピュアスマイル]    [トライセン中津店@大分県@九州] Score: 1087358588 
