2. K.I.  [GLITHCRE GOD]    [スターダスト@岡山県@中国] Score: 1652000000 
169. YUKKE_GS  [GROOVER]    [アミパラテクノランド店@岡山県@中国] Score: 1600869095 
288. sielo89  [CAPTAIN CELEBRATE]    [ファンタジスタ@岡山県@中国] Score: 1530159459 
384. Yu-ki  [アイエエエエエ！]    [アミパラ津山店@岡山県@中国] Score: 1455846977 
469. NEB  [リヴァイアサン]    [セガイオンモール岡山@岡山県@中国] Score: 1390189766 
660. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1239623980 
772. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1177823379 
935. eden!  [吉備団子]    [セガ倉敷@岡山県@中国] Score: 1095356670 
968. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1072946010 
