81. Y.G.insa  [Kick It Out God]    [タイトーフジグラン北島店@徳島県@四国] Score: 1678459572 
88. antisan  [I love "しわ"]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1677366917 
92. N4ken@Bs  [旅人]    [タイトーフジグラン北島店@徳島県@四国] Score: 1676171836 
186. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1635754233 
259. 504939  [Freedom God]    [タイトーフジグラン北島店@徳島県@四国] Score: 1587220315 
480. Rz_Ariel  [絶対思想啓蒙局神]    [タイトーフジグラン北島店@徳島県@四国] Score: 1404670491 
707. GS*9*  [THE WORLDS MASTER]    [アポロゲームセンター沖洲店@徳島県@四国] Score: 1238076720 
756. Rz_m4lly  [変なTシャツ女神]    [タイトーフジグラン北島店@徳島県@四国] Score: 1206555815 
858. jin  [会いたい神]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1156224950 
