2. K.I.  [God recover run]    [スターダスト@岡山県@中国] Score: 1625000000 
17. SKYMAN  [団子を食べる程に強くなる女神]    [スターダスト@岡山県@中国] Score: 1623000902 
170. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1572229256 
392. Yu-ki  [村人A]    [アミパラ津山店@岡山県@中国] Score: 1431172311 
468. Takaha*C  [はじめてのぐるこす]    [アミパラテクノランド店@岡山県@中国] Score: 1369202780 
669. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1214287040 
740. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1180533708 
889. Foxy  [ワーウルフ]    [スターダスト@岡山県@中国] Score: 1104472157 
893. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1102324350 
931. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1075930139 
