112. ICENON*  [OCT, 2017 TOP RANKER]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1579653874 
412. Potechi  [第二回天下一音ゲ祭 チャンピオン]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1403037940 
418. 99  [練習中]    [アムズ・上通り店@熊本県@九州] Score: 1396482942 
472. MORUM0  [地球割り神]    [アムズ・上通り店@熊本県@九州] Score: 1345819990 
568. YUZUSOFT  [クロビ勢]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1268615669 
630. ruuna  [半人半霊の神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1227433196 
712. milk-T  [中級者]    [スポラ九品寺@熊本県@九州] Score: 1180984420 
716. CONVERT  [悪魔の妹]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1177133691 
729. SCFOPU  [I LOVE EDM]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1174056888 
